"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"471","1","            ","            ","W4D","          ","980","9","13","301","301","900","900","0","934867","    L3000-000013","10","Q1-2013 CLERICAL & ADMIN LOE  ","3003","100","72.00","72.00","72.00","72.00","88.85","0.00","0.00","0.00","0.00","88.85","0.810 ","0.810 ","1/2/2013","3/29/2013","1/2/2013","3/29/2013","    L3000-000013-10","88.85","0","0","88.85","0.00 "
"471","1","            ","            ","W4D","          ","980","9","13","301","301","900","900","0","934868","    L3000-000014","10","Q1-2013 SUPPORT CAM DUTIES LOE","3016","100","34.00","34.00","34.00","34.00","26.90","0.00","0.00","0.00","0.00","26.90","1.264 ","1.264 ","1/2/2013","3/29/2013","1/2/2013","3/29/2013","    L3000-000014-10","26.9","0","0","26.9","0.00 "
"471","1","            ","            ","XDA","          ","980","9","14","301","301","900","900","0","933236","    L3000-000003","10","Q2-2012 MAJOR EQUIP PURCH(DIS)","3007","100","100.00","100.00","100.00","100.00","66.66","0.00","0.00","0.00","0.00","66.66","1.500 ","1.500 ","5/29/2012","6/29/2012","5/29/2012","11/26/2012","    L3000-000003-10","66.66","0","0","66.66","0.00 "
"471","1","            ","            ","WDA","          ","980","9","14","301","301","900","900","0","932670","    L3000-000001","10","PUR STARTUP LONG LEAD ORDER   ","3002","100","360.00","360.00","360.00","360.00","223.74","0.00","0.00","0.00","0.00","223.74","1.609 ","1.609 ","3/16/2012","5/25/2012","3/16/2012","6/29/2012","    L3000-000001-10","223.74","0","0","223.74","0.00 "
"471","1","            ","            ","XDD","          ","980","9","14","301","301","900","900","0","933892","    L3000-000008","10","Q4-2012 NON-MAJOR EQUIP (DIS) ","3001","100","190.00","190.00","190.00","190.00","56.89","0.00","0.00","0.00","0.00","56.89","3.340 ","3.340 ","10/1/2012","12/21/2012","10/1/2012","1/2/2013","    L3000-000008-10","56.89","0","0","56.89","0.00 "
"471","1","            ","            ","XDC","          ","980","9","14","301","301","900","900","0","933891","    L3000-000007","10","Q4-2012 MAJOR EQUIP PURCH(DIS)","3002","100","300.00","300.00","300.00","300.00","76.00","0.00","0.00","0.00","0.00","76.00","3.947 ","3.947 ","10/1/2012","12/21/2012","10/1/2012","1/2/2013","    L3000-000007-10","76","0","0","76","0.00 "
"471","1","            ","            ","WDC","          ","980","9","13","301","301","900","900","0","933439","    L3000-000006","10","Q3-2012 CLERICAL & ADMIN LOE  ","3003","100","300.00","300.00","300.00","300.00","57.33","0.00","0.00","0.00","0.00","57.33","5.233 ","5.233 ","7/2/2012","9/28/2012","7/2/2012","9/28/2012","    L3000-000006-10","57.33","0","0","57.33","0.00 "
"471","1","            ","            ","XDB","          ","980","9","14","301","301","900","900","0","933437","    L3000-000004","10","Q3-2012 MAJOR EQUIP PURCH(DIS)","3002","100","300.00","300.00","300.00","300.00","37.60","0.00","0.00","0.00","0.00","37.60","7.979 ","7.979 ","7/2/2012","9/28/2012","7/2/2012","11/30/2012","    L3000-000004-10","37.6","0","0","37.6","0.00 "
"471","1","            ","            ","WDC","          ","980","9","13","301","301","900","900","0","933438","    L3000-000005","10","Q3-2012 NON-MAJOR EQUIP LOE   ","3001","100","300.00","300.00","300.00","300.00","34.19","0.00","0.00","0.00","0.00","34.19","8.774 ","8.774 ","7/2/2012","9/28/2012","7/2/2012","9/28/2012","    L3000-000005-10","34.19","0","0","34.19","0.00 "
"471","1","            ","            ","WDE","          ","980","9","13","301","301","900","900","0","934015","    L3000-000009","10","Q4-2012 CLERICAL & ADMIN LOE  ","3003","100","424.00","424.00","424.00","424.00","46.78","0.00","0.00","0.00","0.00","46.78","9.064 ","9.064 ","10/1/2012","12/21/2012","10/1/2012","12/21/2012","    L3000-000009-10","46.78","0","0","46.78","0.00 "
