"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"483","1","            ","            ","DNW","          ","622","6","1","621","641","F3L  ","F3L   ","53","","    F3L00-622002","10","F3L FAB 622 PADS/GRT/STAN     ","3","0","0.00","86.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","6/15/2017","6/21/2017","9/12/2017","9/20/2017","    F3L00-622002-10","-","-","-","-","0.00"
"483","1","            ","            ","889","          ","992","9","5","621","621","F3L  ","F3L   ","132","","    F3L00-992005","10","F3L REMOVE ERECT STRUCTURE    ","37","0","0.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    F3L00-992005-10","0","0","0.00","0.00","0.00"
"483","1","            ","            ","DYO","          ","110","1","1","621","641","F3U  ","F3U   ","1","","    F3U00-110001","10","F3U MODS FAB N/C              ","3","0","205.00","219.00","0.00","0.00","0.00","219.00","0.00","0.00","0.00","219.00","","","2/22/2017","3/8/2017","6/1/2017","6/14/2017","    F3U00-110001-10","0","0","219.00","219.00","0.00"
"483","1","            ","            ","DYO","          ","110","1","1","621","641","F3U  ","F3U   ","1","","    F3U00-110002","10","F3U MODS FORM PARTS           ","3","0","53.00","50.00","0.00","0.00","0.00","50.00","0.00","0.00","0.00","50.00","","","2/22/2017","3/8/2017","6/1/2017","6/14/2017","    F3U00-110002-10","0","0","50.00","50.00","0.00"
"483","1","            ","            ","DYO","          ","110","1","1","621","641","F3U  ","F3U   ","1","","    F3U00-110003","10","F3U MODS FAB STRUCTURALS      ","2","0","183.00","199.00","0.00","0.00","0.00","199.00","0.00","0.00","0.00","199.00","","","2/22/2017","3/8/2017","6/1/2017","6/14/2017","    F3U00-110003-10","0","0","199.00","199.00","0.00"
"483","1","            ","            ","DAZ","          ","110","1","2","621","621","F3U  ","F3UD1 ","6","","    F3U00-110007","10","F3UD1 MAJOR ASSEMBLY T1       ","8","0","0.00","9.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/7/2017","4/27/2017","6/15/2017","7/17/2017","    F3U00-110007-10","0","0","0.00","0.00","0.00"
"483","1","            ","            ","DAZ","          ","110","1","2","621","621","F3U  ","F3UD1 ","79","","    F3U00-110008","10","F3UD1 MAJOR ASSEMBLY T2       ","8","0","0.00","22.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/7/2017","4/27/2017","6/15/2017","7/17/2017","    F3U00-110008-10","0","0","0.00","0.00","0.00"
"483","1","            ","            ","DAZ","          ","110","1","2","621","621","F3U  ","F3UD1 ","79","","    F3U00-110009","10","F3UD1 MAJOR ASSEMBLY T3       ","8","0","0.00","22.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/7/2017","4/27/2017","6/15/2017","7/17/2017","    F3U00-110009-10","0","0","0.00","0.00","0.00"
"483","1","            ","            ","DAZ","          ","110","1","2","621","621","F3U  ","F3UD1 ","116","","    F3U00-110010","10","F3UD1 MAJOR ASSEMBLY T4       ","8","0","0.00","45.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/7/2017","4/27/2017","6/15/2017","7/17/2017","    F3U00-110010-10","0","0","0.00","0.00","0.00"
"483","1","            ","            ","DAZ","          ","110","1","2","621","621","F3U  ","F3UD1 ","116","","    F3U00-110011","10","F3UD1 MAJOR ASSEMBLY T5       ","8","0","0.00","9.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/7/2017","4/27/2017","6/15/2017","7/17/2017","    F3U00-110011-10","0","0","0.00","0.00","0.00"
"483","1","            ","            ","DAE","          ","110","1","2","621","621","F3U  ","F3UD1 ","116","","    F3U00-110012","10","F3UD1 CONSTRUCT FIT BS 1      ","8","0","0.00","33.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/28/2017","5/25/2017","7/18/2017","8/21/2017","    F3U00-110012-10","-","-","-","-","0.00"
"483","1","            ","            ","DAE","          ","110","1","2","621","621","F3U  ","F3UD1 ","79","","    F3U00-110013","10","F3UD1 CONSTRUCT WELD BS 1     ","9","0","0.00","49.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/28/2017","5/25/2017","7/18/2017","8/21/2017","    F3U00-110013-10","-","-","-","-","0.00"
"483","1","            ","            ","DAE","          ","110","1","2","621","621","F3U  ","F3UD1 ","79","","    F3U00-110014","10","F3UD1 CONSTRUCT FIT BS 2      ","8","0","0.00","69.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/28/2017","5/25/2017","7/18/2017","8/21/2017","    F3U00-110014-10","-","-","-","-","0.00"
"483","1","            ","            ","DAE","          ","110","1","2","621","621","F3U  ","F3UD1 ","79","","    F3U00-110015","10","F3UD1 CONSTRUCT WELD BS 2     ","9","0","0.00","107.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/28/2017","5/25/2017","7/18/2017","8/21/2017","    F3U00-110015-10","-","-","-","-","0.00"
"483","1","            ","            ","DAE","          ","110","1","2","621","621","F3U  ","F3UD1 ","116","","    F3U00-110016","10","F3UD1 CONSTRUCT FIT BS 3      ","8","0","0.00","134.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/28/2017","5/25/2017","7/18/2017","8/21/2017","    F3U00-110016-10","-","-","-","-","0.00"
"483","1","            ","            ","DAE","          ","110","1","2","621","621","F3U  ","F3UD1 ","79","","    F3U00-110017","10","F3UD1 CONSTRUCT WELD BS 3     ","9","0","0.00","266.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/28/2017","5/25/2017","7/18/2017","8/21/2017","    F3U00-110017-10","-","-","-","-","0.00"
"483","1","            ","            ","DBV","          ","110","1","2","621","621","F3U  ","F3UD2 ","116","","    F3U00-110018","10","F3UD2 MAJOR ASSEMBLY T1       ","8","0","0.00","7.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","5/1/2017","5/12/2017","6/29/2017","7/20/2017","    F3U00-110018-10","-","-","-","-","0.00"
"483","1","            ","            ","DBV","          ","110","1","2","621","621","F3U  ","F3UD2 ","116","","    F3U00-110019","10","F3UD2 MAJOR ASSEMBLY T2       ","8","0","0.00","19.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","5/1/2017","5/12/2017","6/29/2017","7/20/2017","    F3U00-110019-10","-","-","-","-","0.00"
"483","1","            ","            ","DBV","          ","110","1","2","621","621","F3U  ","F3UD2 ","116","","    F3U00-110020","10","F3UD2 MAJOR ASSEMBLY T3       ","8","0","0.00","7.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","5/1/2017","5/12/2017","6/29/2017","7/20/2017","    F3U00-110020-10","-","-","-","-","0.00"
"483","1","            ","            ","DBD","          ","110","1","2","621","621","F3U  ","F3UD2 ","116","","    F3U00-110021","10","F3UD2 CONSTRUCT FIT BS 1      ","8","0","0.00","24.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","5/15/2017","6/8/2017","7/21/2017","8/25/2017","    F3U00-110021-10","-","-","-","-","0.00"
"483","1","            ","            ","DBD","          ","110","1","2","621","621","F3U  ","F3UD2 ","79","","    F3U00-110022","10","F3UD2 CONSTRUCT WELD BS 1     ","9","0","0.00","40.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","5/15/2017","6/8/2017","7/21/2017","8/25/2017","    F3U00-110022-10","-","-","-","-","0.00"
"483","1","            ","            ","DBD","          ","110","1","2","621","621","F3U  ","F3UD2 ","116","","    F3U00-110023","10","F3UD2 CONSTRUCT FIT BS 2      ","8","0","0.00","109.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","5/15/2017","6/8/2017","7/21/2017","8/25/2017","    F3U00-110023-10","-","-","-","-","0.00"
"483","1","            ","            ","DBD","          ","110","1","2","621","621","F3U  ","F3UD2 ","79","","    F3U00-110024","10","F3UD2 CONSTRUCT WELD BS 2     ","9","0","0.00","191.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","5/15/2017","6/8/2017","7/21/2017","8/25/2017","    F3U00-110024-10","-","-","-","-","0.00"
"483","1","            ","            ","DBD","          ","110","1","2","621","621","F3U  ","F3UD2 ","116","","    F3U00-110025","10","F3UD2 CONSTRUCT FIT BS 3      ","8","0","0.00","104.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","5/15/2017","6/8/2017","7/21/2017","8/25/2017","    F3U00-110025-10","-","-","-","-","0.00"
"483","1","            ","            ","DBD","          ","110","1","2","621","621","F3U  ","F3UD2 ","79","","    F3U00-110026","10","F3UD2 CONSTRUCT WELD BS 3     ","9","0","0.00","311.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","5/15/2017","6/8/2017","7/21/2017","8/25/2017","    F3U00-110026-10","-","-","-","-","0.00"
"483","1","            ","            ","DAD","          ","110","1","1","621","621","F3U  ","F3UD1 ","2","","    F3U00-110038","10","F3UD1 SUB ASSEMBLIES A        ","4","0","0.00","166.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","3/30/2017","4/13/2017","6/15/2017","7/10/2017","    F3U00-110038-10","0","0","0.00","0.00","0.00"
"483","1","            ","            ","DAD","          ","110","1","1","621","621","F3U  ","F3UD1 ","2","","    F3U00-110039","10","F3UD1 SUB ASSEMBLIES B        ","4","0","0.00","28.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","3/30/2017","4/13/2017","6/15/2017","7/10/2017","    F3U00-110039-10","0","0","0.00","0.00","0.00"
