"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"485","1","            ","            ","889","                                        ","          ","    ","989","9","8","600","625","S    ","S00   ","107","","    S0000-989002","10","SW ILS LOADOUT SUPPORT (BDT)  ","55","0","0.00","180.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    S0000-989002-10","0","0","0","0","0.00 "
"485","1","            ","            ","889","                                        ","          ","    ","989","9","8","600","625","S    ","S00   ","33","","    S0000-989003","10","SW ILS LOADOUT SUPPORT (SRI)  ","55","0","0.00","100.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    S0000-989003-10","0","0","0","0","0.00 "
"485","1","            ","            ","889","                                        ","          ","    ","989","9","8","600","625","S    ","S00   ","33","","    S0000-989004","10","SW ILS LOADOUT SUPPORT (OSI)  ","55","0","0.00","260.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    S0000-989004-10","0","0","0","0","0.00 "
"485","1","            ","            ","DYA","1.34.1.1.1.4.A1L.MFG-AF                 ","          ","    ","110","1","1","621","641","A1L  ","A1L   ","1","","    A1L00-110001","10","A1L MODS FAB N/C              ","3","0","0.00","364.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/3/2017","10/23/2017","11/14/2017","12/6/2017","    A1L00-110001-10","0","0","0","0","0.00 "
"485","1","            ","            ","DYA","1.34.1.1.1.4.A1L.MFG-AF                 ","          ","    ","110","1","1","621","641","A1L  ","A1L   ","1","","    A1L00-110002","10","A1L MODS FORM PARTS           ","3","0","0.00","131.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/3/2017","10/23/2017","11/14/2017","12/6/2017","    A1L00-110002-10","0","0","0","0","0.00 "
"485","1","            ","            ","DYA","1.34.1.1.1.4.A1L.MFG-AF                 ","          ","    ","110","1","1","621","641","A1L  ","A1L   ","1","","    A1L00-110003","10","A1L MODS FAB STRUCTURALS      ","2","0","0.00","179.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/3/2017","10/23/2017","11/14/2017","12/6/2017","    A1L00-110003-10","0","0","0","0","0.00 "
"485","1","            ","            ","BRR","1.34.1.1.1.4.A1L.MFG-AF                 ","          ","    ","163","1","1","621","621","A1L  ","A1LB1 ","2","","    A1L00-163003","10","A1LB1 163 SUB ASSEMBLIES G    ","4","0","0.00","18.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/24/2017","11/9/2017","12/7/2017","1/4/2018","    A1L00-163003-10","0","0","0","0","0.00 "
"485","1","            ","            ","JLC","1.34.1.1.1.4.A1L.MFG-AF                 ","          ","    ","611","6","1","621","621","A1L  ","A1L   ","2","","    A1L00-611004","10","A1L INSTL 611 TIE DOWN SKT N1 ","4","0","0.00","10.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","11/14/2017","11/28/2017","12/7/2017","12/21/2017","    A1L00-611004-10","0","0","0","0","0.00 "
"485","1","            ","            ","889","                                        ","SUP 557641","    ","180","1","1","621","621","A1U  ","A1UD1 ","2","","    A1U00-180009","10","A1UD1 SUB INCONEL D04 D05     ","4","0","0.00","46.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    A1U00-180009-10","0","0","0","0","0.00 "
"485","1","            ","            ","889","                                        ","          ","    ","110","1","5","621","621","A2DD1","A2DD1 ","77","","    A2DD1-110016","10","A2DD1 PATCH PEN IN 2ND PLAT   ","37","0","0.00","488.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    A2DD1-110016-10","0","0","0","0","0.00 "
"485","1","            ","            ","DYE","1.34.1.1.1.3.E1L.MFG-AF                 ","          ","    ","110","1","1","621","641","E1L  ","E1L   ","1","","    E1L00-110001","10","E1L MODS FAB N/C              ","3","0","0.00","203.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/17/2017","11/6/2017","11/22/2017","12/14/2017","    E1L00-110001-10","0","0","0","0","0.00 "
"485","1","            ","            ","DYE","1.34.1.1.1.3.E1L.MFG-AF                 ","          ","    ","110","1","1","621","641","E1L  ","E1L   ","1","","    E1L00-110002","10","E1L MODS FORM PARTS           ","3","0","0.00","166.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","10/17/2017","11/6/2017","11/22/2017","12/14/2017","    E1L00-110002-10","0","0","0","0","0.00 "
