"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"466","1","LCS5 CHIT   ","186","0","          ","573","5","6","624","624","Z60  ","965","149","265960","    L9900-V00022","10","VEN-965-LRHS TROUBLESHOOTING  ","890","100","0.00","100.00","0.00","100.00","218.00","0.00","0.00","0.00","0.00","218.00","0.00","0.46","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","186 Total","","","","","","","","","","","","","","","","","0.00","100.00","0.00","100.00","218.00","0.00","0.00","0.00","0.00","218.00","","","","","",""
"466","1","LCS5 CHIT   ","201","0","          ","241","2","6","624","624","993","933","111","268527","    L9900-V00023","10","VEN-993-RECEIVE 2 55 GALLON   ","890","100","0.00","32.00","0.00","32.00","6.00","0.00","0.00","0.00","0.00","6.00","0.00","5.33","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","201 Total","","","","","","","","","","","","","","","","","0.00","32.00","0.00","32.00","6.00","0.00","0.00","0.00","0.00","6.00","","","","","",""
"466","1","LCS5 CHIT   ","204","0","          ","241","2","6","624","624","993","993","26","268529","    L9900-V00024","10","VEN-993-TROUBLE SHOOT & REPAIR","890","100","0.00","60.00","0.00","60.00","40.00","0.00","0.00","0.00","0.00","40.00","0.00","1.50","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","204 Total","","","","","","","","","","","","","","","","","0.00","60.00","0.00","60.00","40.00","0.00","0.00","0.00","0.00","40.00","","","","","",""
"466","1","LCS5 CHIT   ","205","0","          ","241","2","6","624","624","993","993","26","268530","    L9900-V00025","10","VEN-993-ITS IN THE NIGHT NOTES","890","100","0.00","40.00","0.00","40.00","32.00","0.00","0.00","0.00","0.00","32.00","0.00","1.25","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","205 Total","","","","","","","","","","","","","","","","","0.00","40.00","0.00","40.00","32.00","0.00","0.00","0.00","0.00","32.00","","","","","",""
"466","1","LCS5 CHIT   ","211","0","          ","262","2","6","623","623","900","900","131","269629","    L9900-V00028","10","VEN-SW-INST DSSB LO SERVICE   ","890","100","0.00","960.00","0.00","960.00","2945.53","0.00","0.00","0.00","0.00","2945.53","0.00","0.33","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","211 Total","","","","","","","","","","","","","","","","","0.00","960.00","0.00","960.00","2945.53","0.00","0.00","0.00","0.00","2945.53","","","","","",""
"466","1","LCS5 CHIT   ","216","0","          ","244","2","6","624","624","900","900","26","268868","    L9900-V00027","10","VEN-SW-OUTPUT SHAFT BEARING & ","890","100","0.00","400.00","0.00","400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2779999769981790.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","216 Total","","","","","","","","","","","","","","","","","0.00","400.00","0.00","400.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"466","1","LCS5 CHIT   ","217","0","          ","241","2","6","624","624","900","900","26","268866","    L9900-V00026","10","VEN-SW-SPLITTER GEAR BEARINGS ","890","100","0.00","5268.00","0.00","5268.00","108.00","0.00","0.00","0.00","0.00","108.00","0.00","48.78","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","217 Total","","","","","","","","","","","","","","","","","0.00","5268.00","0.00","5268.00","108.00","0.00","0.00","0.00","0.00","108.00","","","","","",""
"466","1","LCS5 CHIT   ","227","0","          ","243","2","6","624","624","Z60  ","960","26","269691","    L9900-V00029","10","VEN-960-THRUST COLLAR         ","890","100","0.00","400.00","0.00","400.00","-0.00","0.00","0.00","0.00","0.00","-0.00","0.00","-2814749767106560.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","227 Total","","","","","","","","","","","","","","","","","0.00","400.00","0.00","400.00","-0.00","0.00","0.00","0.00","0.00","-0.00","","","","","",""
"466","1","LCS5 CHIT   ","259","0","          ","244","2","6","624","624","900","900","26","271247","    L9900-V00030","10","VEN-SW-FINAL ALIGNMENT SHFT LN","890","100","0.00","80.00","0.00","80.00","-0.00","0.00","0.00","0.00","0.00","-0.00","0.00","-608594544239256.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","259 Total","","","","","","","","","","","","","","","","","0.00","80.00","0.00","80.00","-0.00","0.00","0.00","0.00","0.00","-0.00","","","","","",""
"466","1","LCS5 CHIT   ","267","0","          ","241","2","6","624","624","Z50  ","952","110","272002","    L9900-V00031","10","VEN-952-PROVIDE INDUSTRIAL    ","890","100","0.00","600.00","0.00","600.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","267 Total","","","","","","","","","","","","","","","","","0.00","600.00","0.00","600.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"466","1","LCS5 CHIT   ","276","0","          ","247","2","6","624","624","900","993","121","273151","    L9900-V00032","10","VEN-SW-COLLECT THE PRODUCTION ","890","100","0.00","400.00","0.00","400.00","118.50","0.00","0.00","0.00","0.00","118.50","0.00","3.38","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","276 Total","","","","","","","","","","","","","","","","","0.00","400.00","0.00","400.00","118.50","0.00","0.00","0.00","0.00","118.50","","","","","",""
"466","1","LCS5 CHIT   ","360","0","          ","573","5","8","624","624","Z60  ","965","38","278669","    L9900-V00033","10","VEN-965-MFG SUPPT ILS LHRS TRN","890","100","0.00","48.00","0.00","48.00","48.00","0.00","0.00","0.00","0.00","48.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","360 Total","","","","","","","","","","","","","","","","","0.00","48.00","0.00","48.00","48.00","0.00","0.00","0.00","0.00","48.00","","","","","",""
"466","1","LCS5 CHIT   ","385","0","          ","555","5","6","623","623","900","900","115","281256","    L9900-V00035","10","VEN-SW-HFP SHOCK SUPPORT      ","890","0","0.00","200.00","0.00","0.00","0.00","200.00","0.00","0.00","0.00","200.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","385 Total","","","","","","","","","","","","","","","","","0.00","200.00","0.00","0.00","0.00","200.00","0.00","0.00","0.00","200.00","","","","","",""
"466","1","LCS5 CHIT   ","411","0","          ","180","1","1","621","621","S    ","S00   ","53","279806","    L9900-V00034","10","VEN-SW-FABRICATE & SUBASSEMBLE","890","100","0.00","24.00","0.00","24.00","8.00","0.00","0.00","0.00","0.00","8.00","0.00","3.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","411 Total","","","","","","","","","","","","","","","","","0.00","24.00","0.00","24.00","8.00","0.00","0.00","0.00","0.00","8.00","","","","","",""
"466","1","LCS5 POLN18 ","632","0","632","581","5","6","624","624","S    ","S00   ","26","287577","    L9900-V00036","10","VEN-SW-ANCHOR INSURANCE CLAIM ","890","100","0.00","232.00","0.00","232.00","232.00","0.00","0.00","0.00","0.00","232.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","632 Total","","","","","","","","","","","","","","","","","0.00","232.00","0.00","232.00","232.00","0.00","0.00","0.00","0.00","232.00","","","","","",""
"466","1","LCS5 POLN19 ","633","0","633","244","2","6","624","624","S    ","S00   ","26","287580","    L9900-V00037","10","VEN-SW-LCS 5 LO CONTAMINATION ","890","100","0.00","2293.00","0.00","2293.00","2292.67","0.00","0.00","0.00","0.00","2292.67","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"466","1","LCS5 POLN19 ","633","888","633","244","2","6","624","624","S    ","S00   ","26","287581","    L9900-V00038","10","VEN-SW-LO CONATMINATION INS   ","890","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","633 Total","","","","","","","","","","","","","","","","","0.00","2293.00","0.00","2293.00","2292.67","0.00","0.00","0.00","0.00","2292.67","","","","","",""
"466","1","LCS5 POLN20 ","639","0","639","241","2","8","624","624","S    ","S00   ","26","287812","    L9900-V00039","10","VEN-SW-UNINTENTIONAL GEAR     ","890","100","0.00","10449.00","0.00","10449.00","10397.17","0.00","0.00","0.00","0.00","10397.17","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","639 Total","","","","","","","","","","","","","","","","","0.00","10449.00","0.00","10449.00","10397.17","0.00","0.00","0.00","0.00","10397.17","","","","","",""
"466","1","LCS5 CHIT   ","-","888","          ","541","5","1","623","623","900","844P  ","24","257978","    L9900-R00165","10","RWK-844P-REPLACE 10"" STAINLESS","890","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"466","1","LCS5 CHIT   ","-","888","          ","167","1","6","621","621","900","860","130","257982","    L9900-V00003","10","VEN-860-REWORK IS DUE TO LATE ","890","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"466","1","LCS5 CHIT   ","-","888","          ","551","5","6","623","623","900","814","131","257981","    L9900-V00004","10","VEN-814-ACTUATORS FOR THE 551 ","890","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"466","1","LCS5 CHIT   ","-","888","          ","167","1","6","621","621","900","963","37","257983","    L9900-V00009","10","VEN-963-LATE DELIVERY OF      ","890","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"466","1","LCS5 CHIT   ","-","888","          ","529","5","6","623","623","900","863","131","257987","    L9900-V00018","10","VEN-863-REMOVE VALVES SHIP    ","890","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","- Total","","","","","","","","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"","","","Grand Total","","","","","","","","","","","","","","","","","0.00","45864.00","0.00","45464.00","35693.34","400.00","0.00","0.00","0.00","36093.34","0.000","1.274","","","",""
