"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943928","    L6500-000014","10","Q1-2017 LOE PP&C TPG          ","3014","100","0.00","1040.00","0.00","1040.00","2216.87","0.00","0.00","0.00","0.00","2216.87","0.000 ","0.469 ","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000014-10","2044.14","0","164","2208.14","8.73 "
"481","1","            ","            ","WBD","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","944734","    L6500-000042","10","Q3-2016 LOE PP&C SCM          ","3014","100","0.00","65.00","0.00","65.00","260.35","0.00","0.00","0.00","0.00","260.35","0.000 ","0.250 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000042-10","260.35","0","0","260.35","0.00 "
"481","1","            ","            ","WBD","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","944735","    L6500-000043","10","Q4-2016 LOE PP&C SCM          ","3014","100","0.00","130.00","0.00","130.00","164.36","0.00","0.00","0.00","0.00","164.36","0.000 ","0.791 ","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000043-10","164.36","0","0","164.36","0.00 "
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","944736","    L6500-000044","10","Q1-2017 LOE PP&C SCM          ","3014","100","0.00","260.00","0.00","260.00","238.36","0.00","0.00","0.00","0.00","238.36","0.000 ","1.091 ","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000044-10","204.8","0","16","220.8","17.56 "
"481","1","            ","            ","WBC","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943748","    L6500-000001","10","Q4-2015 ALL PP&C WORK         ","3014","100","130.00","130.00","130.00","130.00","129.39","0.00","0.00","0.00","0.00","129.39","1.005 ","1.005 ","9/28/2015","12/23/2015","9/28/2015","12/23/2015","    L6500-000001-10","129.39","0","0","129.39","0.00 "
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943929","    L6500-000015","10","Q2-2017 LOE PP&C PRC          ","3014","0","0.00","390.00","0.00","0.00","0.00","390.00","0.00","0.00","0.00","390.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000015-10","0","0","390","390","0.00 "
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943930","    L6500-000016","10","Q2-2017 LOE PP&C IMS          ","3014","0","0.00","585.00","0.00","0.00","0.00","585.00","0.00","0.00","0.00","585.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000016-10","0","0","585","585","0.00 "
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943931","    L6500-000017","10","Q2-2017 LOE PP&C TPG          ","3014","0","0.00","2665.00","0.00","0.00","0.00","2665.00","0.00","0.00","0.00","2665.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000017-10","0","0","2665","2665","0.00 "
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943932","    L6500-000018","10","Q3-2017 LOE PP&C PRC          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000018-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943933","    L6500-000019","10","Q3-2017 LOE PP&C IMS          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000019-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943934","    L6500-000020","10","Q3-2017 LOE PP&C TPG          ","3014","0","0.00","3250.00","0.00","0.00","0.00","3250.00","0.00","0.00","0.00","3250.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000020-10","0","0","3250","3250","0.00 "
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943935","    L6500-000021","10","Q4-2017 LOE PP&C PRC          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000021-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943936","    L6500-000022","10","Q4-2017 LOE PP&C IMS          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000022-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBH","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943937","    L6500-000023","10","Q4-2017 LOE PP&C TPG          ","3014","0","0.00","3250.00","0.00","0.00","0.00","3250.00","0.00","0.00","0.00","3250.00","","","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000023-10","0","0","3250","3250","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943938","    L6500-000024","10","Q1-2018 LOE PP&C PRC          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000024-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943939","    L6500-000025","10","Q1-2018 LOE PP&C IMS          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000025-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943940","    L6500-000026","10","Q1-2018 LOE PP&C TPG          ","3014","0","0.00","3900.00","0.00","0.00","0.00","3400.00","0.00","0.00","0.00","3400.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000026-10","0","0","3400","3400","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943941","    L6500-000027","10","Q2-2018 LOE PP&C PRC          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000027-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943942","    L6500-000028","10","Q2-2018 LOE PP&C IMS          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000028-10","0","0","650","650","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943943","    L6500-000029","10","Q2-2018 LOE PP&C TPG          ","3014","0","0.00","3900.00","0.00","0.00","0.00","3400.00","0.00","0.00","0.00","3400.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000029-10","0","0","3400","3400","0.00 "
"481","1","            ","            ","WBL","1.28.3.1.6.PPC-AD                       ","          ","    ","813","8","13","350","350","900","900","0","943944","    L6500-000030","10","Q3-2018 LOE PP&C PRC          ","3014","0","0.00","650.00","0.00","0.00","0.00","650.00","0.00","0.00","0.00","650.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6500-000030-10","0","0","650","650","0.00 "
