"Proj.","FM","HB","Seq","SWBS","Prod. Order","Opr","Task","WS/T","ECP/REA","Item","Description","Earliest Start Dt","Earliest End Date","BUDGET","% PROG","EARNED HOURS","ACTUAL","EAC","","",""
"MFG","","","","","","","","","","","","","","","","","","","","",""
"479","3","D1S ","D1SD2 ","150","117151","10","4","    ","90","    D1S00-150020","LCS 19 D1SD2 MAJ ASSY S3      ","        ","        ","223","100","223","205.76","205.76","","",""
"479","3","D1S ","D1SD2 ","150","117152","10","4","    ","91","    D1S00-150021","LCS 19 D1SD2 MAJ ASSY S4      ","        ","        ","275","100","275","387.6","387.6","","",""
"479","3","D1S ","D1SD2 ","150","117153","10","4","    ","107","    D1S00-150062","LCS 19 D1SD2 MAJ ASSY T1      ","        ","        ","7","100","7","28.48","28.48","","",""
"479","3","D1S ","D1SD2 ","150","117154","10","4","    ","108","    D1S00-150063","LCS 19 D1SD2 MAJ ASSY T2      ","        ","        ","11","100","11","0","0","","",""
"479","3","D1S ","D1SD2 ","150","117155","10","4","    ","109","    D1S00-150064","LCS 19 D1SD2 MAJ ASSY T3      ","        ","        ","6","100","6","2.5","2.5","","",""
"479","3","D1S ","D1SD2 ","150","117156","10","4","    ","110","    D1S00-150065","LCS 19 D1SD2 MAJ ASSY T4      ","        ","        ","22","100","22","5","5","","",""
"479","3","D1S ","D1SD3 ","150","117054","10","4","    ","114","    D1S00-150024","LCS 19 D1SD3 SUB ASSY M       ","        ","        ","153","100","153","185.5","185.5","","",""
"479","3","D1S ","D1SD3 ","150","117055","10","4","    ","115","    D1S00-150025","LCS 19 D1SD3 SUB ASSY N       ","        ","        ","114","100","114","71.5","71.5","","",""
"479","3","D1S ","D1SD3 ","150","117058","10","4","    ","118","    D1S00-150028","LCS 19 D1SD3 MAJ ASSY S1      ","        ","        ","34","100","34","42.5","42.5","","",""
"479","3","D1S ","D1SD3 ","150","117059","10","4","    ","119","    D1S00-150029","LCS 19 D1SD3 MAJ ASSY S2      ","        ","        ","30","100","30","27","27","","",""
"479","3","D1S ","D1SD4 ","150","117089","10","4","    ","139","    D1S00-150034","LCS 19 D1SD4 MAJ ASSY S1      ","        ","        ","90","100","90","65.4","65.4","","",""
"479","3","D1S ","D1SD4 ","150","117090","10","4","    ","140","    D1S00-150035","LCS 19 D1SD4 MAJ ASSY S2      ","        ","        ","65","100","65","51.5","51.5","","",""
"479","3","D1S ","D1SD4 ","150","117091","10","4","    ","154","    D1S00-150041","LCS 19 D1SD4 MAJ ASSY T1      ","        ","        ","13","100","13","7","7","","",""
"479","3","D1S ","D1SD4 ","150","117085","10","4","    ","135","    D1S00-150030","LCS 19 D1SD4 SUB ASSY M       ","03/11/2015","        ","52","100","52","80.03","80.03","","",""
"479","3","D1S ","D1SD4 ","150","117086","10","4","    ","136","    D1S00-150031","LCS 19 D1SD4 SUB ASSY N       ","03/11/2015","        ","132","100","132","104.57","104.57","","",""
"479","3","D1S ","23D1S ","167","0","10","4","    ","297","    D1S00-167001","LCS 19 23DIS RINGS BERPS INSRT","        ","        ","18","0","0","0","18","","",""
"479","4","D1S ","D1SD1 ","150","117125","10","8","    ","63","    D1S00-150056","LCS 19 D1SD1 CONSTRCT FIT BS_1","        ","        ","48","100","48","23","23","","",""
"479","4","D1S ","D1SD1 ","150","117126","10","9","    ","64","    D1S00-150057","LCS 19 D1SD1 CONSTRT WELD BS_1","        ","        ","26","100","26","38","38","","",""
