"Proj","SWBS","Item","Description","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","ECP/REA","","",""
"      ","110","04-85-705-108","ANGLE                ","   ","100876","606513","8","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-85-705-109","ANGLE                ","   ","100876","606513","9","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-83-701-111","ANGLE                ","   ","100876","606513","10","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-83-705-114","ANGLE                ","   ","100876","606513","11","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-81-705-106","ANGLE                ","   ","100876","606513","12","0","2","0","2","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-81-700-108","ANGLE                ","   ","100876","606513","13","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-81-700-110","ANGLE                ","   ","100876","606513","14","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-81-701-102","ANGLE                ","   ","100876","606513","15","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-7D-705-114","ANGLE                ","   ","100876","606513","16","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-7A-717-102","ANGLE                ","   ","100876","606513","17","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-7A-718-102","ANGLE                ","   ","100876","606513","18","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-7A-701-104","ANGLE                ","   ","100876","606513","19","0","2","0","2","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-7P-705-102","ANGLE                ","   ","100876","606513","20","0","4","0","4","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-7P-705-108","ANGLE                ","   ","100876","606513","21","0","2","0","2","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-201-96-0004A","BAND, 75 X 503 LG    ","   ","100774","606635","5","0","70","50","20","0","03/07/2014","8","         ","            ","             ","","","",""
"      ","110","04-201-96-0003B","END SLEEVE, 350 ID X ","   ","100774","606635","13","0","-58","0","-58","0","03/14/2014","8","         ","            ","             ","","","",""
"467","110","110-00-0S004","TEE MT 4 X 3.25 LB X ","   ","1","677573","1","0","415","333","82","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-0S006","TEE MT 6 X 5.9 LB X  ","   ","1","677573","3","0","143","87","56","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-0S007","TEE WT 6 X 7 LB X 40 ","   ","1","677573","4","0","76","45","31","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-0S008","TEE WT 6 X 8 LB X 40 ","   ","1","677573","5","0","149","76","73","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-0S010","TEE, WT 9 X 17.5LB X ","   ","1","677573","7","0","1","0","1","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-0S011","TEE WT 6 X 13 LB X 4 ","   ","1","677573","8","0","44","40","4","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-MS004","TEE, MT 4 X 3.25 LB  ","   ","1","677573","11","0","8","0","8","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-MS106","MT 6 X 5.9LB X 40',  ","   ","1","677573","15","0","2","0","2","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-MS204","TEE MT 4 X 3.25 LB X ","   ","1","677573","17","0","1","0","1","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-MS205","TEE, MT 8.5 X 6.3LB  ","   ","1","677573","18","0","16","8","8","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-MS305","TEE, MT 8.5 X 6.3LB  ","   ","1","677573","20","0","27","18","9","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-WS108","TEE, WT 6 X 8 LB X 4 ","   ","1","677573","23","0","58","54","4","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-WS304","TEE, MT 4 X 3.25LB X ","   ","1","677573","26","0","106","90","16","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-WS307","TEE, WT 6 X 7 LB X 4 ","   ","1","677573","27","0","24","16","8","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","16-16W0701140","TEE, 7"" X 11"" X 40', ","   ","1","677573","29","0","8","6","2","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","12-22E0217520","BAR, FLAT, 1-3/4"" X  ","   ","1","677573","31","0","402","0","402","0","01/04/2013","1","         ","            ","             ","","","",""
"467","110","110-00-00100","FB, 155MM X 5MM X 20 ","   ","1","677573","32","0","2","0","2","0","05/04/2012","1","         ","            ","             ","","","",""
"467","110","110-00-WS206","TEE, MT 6 X 5.9 LB X ","   ","1","677573","43","0","10","0","10","0","10/17/2012","1","         ","            ","             ","","","",""
"467","110","110-00-0S004","TEE MT 4 X 3.25 LB X ","   ","1","677573","51","0","20","0","20","0","11/13/2012","1","         ","            ","             ","","","",""
"      ","110","04-72-303","EXT PANEL            ","   ","100876","677817","39","0","1","0","1","0","04/25/2013","8","         ","            ","             ","","","",""
"467","127","127-01-51401-L26","CERTIFICATE, IDENTIC ","   ","22079","582429","7","0","1","0","1","0","04/21/2012","8","         ","            ","             ","","","",""
"467","127","127-01-53301-L26","CERTIFICATE, IDENTIC ","   ","22079","582429","8","0","1","0","1","0","04/21/2012","8","         ","            ","             ","","","",""
"467","127","127-01-51401-L11","CERTIFICATES, REGULA ","   ","22079","582429","13","0","1","0","1","0","04/21/2012","8","         ","            ","             ","","","",""
"467","127","127-01-53301-L11","CERTIFICATES, REGULA ","   ","22079","582429","14","0","1","0","1","0","04/21/2012","8","         ","            ","             ","","","",""
"467","127","127-01-51401-L68","CERTIFICATES, VENDOR ","   ","22079","582429","15","0","1","0","1","0","04/21/2012","8","         ","            ","             ","","","",""
"467","127","127-01-53301-L68","CERTIFICATES, VENDOR ","   ","22079","582429","16","0","1","0","1","0","04/21/2012","8","         ","            ","             ","","","",""
"467","127","127-88-001-S01","BATTLE DRESSING TANK ","   ","105527","799550","1","29534.8","1","0","1","29534.8","08/08/2017","1","         ","            ","             ","CF 2128-S1","","",""
"467","127","127-88-002TC","SPEED LOG EQUIPMENT  ","   ","107925","799552","1","7065","1","0.2","0.8","5652","08/08/2017","1","         ","            ","             ","","","",""
"467","150","150-02-00885","VENDOR SERVICES, TO  ","   ","105146","540079","4","0","1","0","1","0","10/24/2014","8","         ","            ","             ","","","",""
"467","150","150-DC-00002","SRVC, PLATE CUTTING, ","   ","100876","606909","3","0","1","0","1","0","09/06/2014","8","         ","            ","             ","","","",""
"467","150","150-00-VS970","VENDOR SERVICE FOR U ","   ","107562","621227","1","0","1","0","1","0","06/01/2014","6","         ","            ","             ","","","",""
"467","150","150-00-VS970","VENDOR SERVICE FOR U ","   ","107512","639685","1","0","1","0","1","0","06/01/2014","4","         ","            ","             ","","","",""
"467","150","150-00-VS002","CONSUMABLES NOT SUPP ","   ","107522","639791","1","0","1","0","1","0","07/01/2014","4","         ","            ","             ","","","",""
"467","150","150-88-001TC","PASSAGEWAY HEIGHT CL ","   ","107925","799552","2","2970","1","0.2","0.8","2376","08/08/2017","1","         ","            ","             ","","","",""
"467","161","161-10-0001A-L11","CERTIFICATES, REGULA ","   ","106239","582373","13","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0001A-L26","CERTIFICATE, IDENTIC ","   ","106239","582373","14","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0001B-L11","CERTIFICATES, REGULA ","   ","106239","582373","15","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0001B-L26","CERTIFICATE, IDENTIC ","   ","106239","582373","16","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0001C-L11","CERTIFICATES, REGULA ","   ","106239","582373","17","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0001C-L26","CERTIFICATE, IDENTIC ","   ","106239","582373","18","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0002A-L11","CERTIFICATES, REGULA ","   ","106239","582373","19","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0002A-L26","CERTIFICATE, IDENTIC ","   ","106239","582373","20","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0002B-L11","CERTIFICATES, REGULA ","   ","106239","582373","21","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0002B-L26","CERTIFICATE, IDENTIC ","   ","106239","582373","22","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0002C-L11","CERTIFICATES, REGULA ","   ","106239","582373","23","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0002C-L26","CERTIFICATE, IDENTIC ","   ","106239","582373","24","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0003A-L11","CERTIFICATES, REGULA ","   ","106239","582373","25","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0003A-L26","CERTIFICATE, IDENTIC ","   ","106239","582373","26","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0003B-L11","CERTIFICATES, REGULA ","   ","106239","582373","27","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0003B-L26","CERTIFICATE, IDENTIC ","   ","106239","582373","28","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0003C-L11","CERTIFICATES, REGULA ","   ","106239","582373","29","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0003C-L26","CERTIFICATE, IDENTIC ","   ","106239","582373","30","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0004A-L11","CERTIFICATES, REGULA ","   ","106239","582373","31","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
"467","161","161-10-0004A-L26","CERTIFICATE, IDENTIC ","   ","106239","582373","32","0","1","0","1","0","07/15/2012","8","         ","            ","             ","","","",""
