"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","Name","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","ECP/REA","","","","","","","","","","",""
"485","110","    11-13M055T40","PLATE, 5.5MM X 96"" X ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","2","1327.15","15","0","15","19907.25","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M060T40","PLATE, 6MM X 96"" X 4 ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","3","1447.8","10","0","10","14478","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M065T40","PLATE, 6.5MM X 96"" X ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","4","1568.45","25","0","25","39211.25","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M070T40","PLATE, 7MM X 96"" X 4 ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","5","1653.09","13","0","13","21490.17","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M075T40","PLATE, 7.5MM X 96"" X ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","6","1771.28","3","0","3","5313.84","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M080T40","PLATE, 8MM X 96"" X 4 ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","7","1889.24","11","0","11","20781.64","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M085T40","PLATE, 8.5MM X 96"" X ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","8","1963.59","3","0","3","5890.77","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M100T40","PLATE, 10MM X 96"" X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","9","2220.07","17","0","17","37741.19","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M110T40","PLATE, 11MM X 96"" X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","10","2442.07","12","0","12","29304.84","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
"485","110","    11-13M120T40","PLATE, 12MM X 96"" X  ","PLATE     ","                  ","   ","106024","ARCELORMITTA","766094","11","2664.08","4","0","4","10656.32","09/20/2017","1","         ","            ","             ","","","","","","","","","","","",""
