"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","",""
"SWBS: ","127","127M - INDEPENDENT","TANKS              ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 127 :       22812.00","","","","","","","","",""
"485","150","   13-3320200425","ANGLE, 2"" X 2"" X 1/4 ","ANGLE     ","                  ","   ","58214","766043","1","96.25","67","0","67","6448.75","06/24/2017","8","         ","            ","","",""
"485","150","    150-01-D2SD1","SRVC, ALUM & STRUC F ","SERVICE   ","CUTTING           ","   ","100876","941018","1","32858.19","1","0","1","32858.19","12/31/2019","8","         ","            ","","",""
"485","150","    150-01-D1SD1","SRVC, ALUM & STRUC F ","SERVICE   ","CUTTING           ","   ","100876","941018","2","31893.19","1","0","1","31893.19","12/31/2019","8","         ","            ","","",""
"485","150","    150-01-D4SD1","SRVC, ALUM & STRUC F ","SERVICE   ","CUTTING           ","   ","100876","941018","3","29068.19","1","0","1","29068.19","12/31/2019","8","         ","            ","","",""
"485","150","    150-01-D1SD3","SRVC, ALUM & STRUC F ","SERVICE   ","CUTTING           ","   ","100876","941018","4","11173.19","1","0","1","11173.19","12/31/2019","8","         ","            ","","",""
"485","150","    150-01-D2TD1","SRVC, ALUM & STRUC F ","SERVICE   ","CUTTING           ","   ","100876","941018","5","30193.19","1","0","1","30193.19","12/31/2019","8","         ","            ","","",""
"485","150","    150-01-D3SS1","SRVC, ALUM & STRUC F ","SERVICE   ","CUTTING           ","   ","100876","941018","6","8860.69","1","0","1","8860.69","12/31/2019","8","         ","            ","","",""
"485","150","    150-01-D3TD1","SRVC, ALUM & STRUC F ","SERVICE   ","CUTTING           ","   ","100876","941018","7","16093.19","1","0","1","16093.19","12/31/2019","8","         ","            ","","",""
"485","150","    150-01-D1TD1","SRVC, ALUM & STRUC F ","SERVICE   ","CUTTING           ","   ","100876","941018","8","15658.19","1","0","1","15658.19","12/31/2019","8","         ","            ","","",""
"485","150","    150-01-D3SS2","SRVC, ALUM & STRUC F ","SERVICE   ","CUTTING           ","   ","100876","941018","9","8860.69","1","0","1","8860.69","12/31/2019","8","         ","            ","","",""
"485","150","    150-01-D3SD1","SRVC, ALUM & STRUC F ","SERVICE   ","CUTTING           ","   ","100876","941018","10","13648.15","1","0","1","13648.15","12/31/2019","8","         ","            ","","",""
"485","150","    150-01-D2MM1","SRVC, ALUM & STRUC F ","SERVICE   ","CUTTING           ","   ","100876","941018","11","16693.14","1","0","1","16693.14","12/31/2019","8","         ","            ","","",""
