"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort"
"473","2","  HPR-0001706-01","STEERING/REVERSING H ","WATERJETS ","SYSTEM            ","   ","104945","621354","133","0","1","0","1","0","05/07/2017","8","         ","            ",""
"473","2","  HPR-0001706-02","STEERING/REVERSING H ","WATERJETS ","SYSTEM            ","   ","104945","621354","134","0","1","0","1","0","05/07/2017","8","         ","            ",""
"473","2","  HPR-0001723-01","WATERJETS, COMPLETE  ","WATERJETS ","SYSTEM            ","   ","104945","621354","135","0","1","0","1","0","05/07/2017","8","         ","            ",""
"473","2","  HPR-0001882-01","WATERJETS, COMPLETE  ","WATERJETS ","SYSTEM            ","   ","104945","621354","136","0","2","0","2","0","06/12/2017","8","         ","            ",""
"473","2","  HPR-0001882-02","WATERJETS, COMPLETE  ","WATERJETS ","SYSTEM            ","   ","104945","621354","137","0","2","0","2","0","06/12/2017","8","         ","            ",""
"473","2","  HPR-0001961-01","SKID MOUNTED PNEUMAT ","ASSEMBLY  ","SKID              ","   ","104945","621357","107","0","2","0","2","0","06/19/2017","8","         ","            ",""
"473","2","  HPR-0002135-01","PANEL, CONTROL SELEC ","PANEL     ","CONTROL           ","   ","104945","621358","35","0","1","0","1","0","08/03/2017","8","         ","            ",""
"473","2","  HPR-0001716-01","COMPENSTION OIL DRAI ","DRAIN     ","OIL               ","   ","104945","621361","136","0","1","0","1","0","05/07/2017","8","         ","            ",""
"473","2","  HPR-0001733-01","COMPENSTION OIL DRAI ","DRAIN     ","OIL               ","   ","104945","621361","137","0","1","0","1","0","05/14/2017","8","         ","            ",""
"473","2","  HPR-0001733-02","GASKET, FOR BUSL 261 ","GASKET    ","PORT              ","   ","104945","621361","138","0","2","0","2","0","05/14/2017","8","         ","            ",""
"473","2","  HPR-0001733-03","GASKET, FOR ASL 2/16 ","GASKET    ","PORT              ","   ","104945","621361","139","0","1","0","1","0","05/14/2017","8","         ","            ",""
"473","2","  HPR-0001733-04","GASKET, FOR ASL 2/16 ","GASKET    ","PORT              ","   ","104945","621361","140","0","1","0","1","0","05/14/2017","8","         ","            ",""
"473","2","  HPR-0001733-05","GASKET, FOR ASL 2/16 ","GASKET    ","STARBOARD         ","   ","104945","621361","141","0","2","0","2","0","05/14/2017","8","         ","            ",""
"473","2","  HPR-0001850-01","COMPENSTION OIL DRAI ","DRAIN     ","OIL               ","   ","104945","621361","143","0","1","0","1","0","06/04/2017","8","         ","            ",""
"473","2","  HPR-0001850-02","COMPENSTION OIL DRAI ","DRAIN     ","OIL               ","   ","104945","621361","144","0","1","0","1","0","06/04/2017","8","         ","            ",""
"473","2","  HPR-0001922-01","HMI-PANEL PORT       ","PANEL     ","PORT              ","   ","104945","621361","145","0","1","0","1","0","06/12/2017","8","         ","            ",""
"473","2","  HPR-0002000-01","COMPENSTION OIL DRAI ","DRAIN     ","OIL               ","   ","104945","621361","147","0","1","0","1","0","07/07/2017","8","         ","            ",""
"473","2","  HPR-0001935-01","GEARS, REDUCTION, CO ","GEAR      ","REDUCTION         ","   ","104945","621361","148","0","1","0","1","0","07/07/2017","8","         ","            ",""
"473","2","  HPR-0002060-01","GEAR UNIT ASL 2-160  ","UNIT      ","GEAR              ","   ","104945","621361","149","0","1","0","1","0","07/17/2017","8","         ","            ",""
"473","2","  HPR-0002060-02","GEAR UNIT ASL 2-160  ","UNIT      ","GEAR              ","   ","104945","621361","150","0","1","0","1","0","07/17/2017","8","         ","            ",""
"473","2","  HPR-0001996-01","ELECTRIC LUBE OIL ST ","ELECTRIC P","LUBE OIL          ","   ","104945","621361","151","0","1","0","1","0","07/30/2017","8","         ","            ",""
"473","2","    HPR-05546-01","SHIP SERVICE DIESEL  ","GENERATOR ","DIESEL            ","   ","100522","621400","3","124200","1","0.89","0.1","13413.6","12/15/2014","8","         ","            ",""
"473","2","  HPR-0002099-01","UNIT, DRY AIR SUPPLY ","UNIT      ","SUPPLY            ","   ","104945","639869","306","0","1","0","1","0","07/30/2017","8","         ","            ",""
