"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","","","","","","","","","","",""
"469","2","  HPR-0000652-01","AMMO STORAGE RACK RI ","RACK      ","STORAGE           ","   ","104945","639432","246","0","1","0","1","0","10/21/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000652-02","AMMO STORAGE RACK LE ","RACK      ","STORAGE           ","   ","104945","639432","247","0","1","0","1","0","10/21/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09552-01","CABINET, I/O 1A (1-2 ","CABINET   ","                  ","   ","104945","639436","38","0","1","0","1","0","05/18/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001402-01","CONSOLE, (MDU37), DA ","CONSOLE   ","CONTROL           ","   ","104945","639436","39","0","1","0","1","0","03/08/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001444-01","CPU, MPCMS, DAMAGE C ","STATION   ","DAMAGE CONTROL    ","   ","104945","639436","40","0","1","0","1","0","03/08/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001555-01","CABINET, CORE NETWOR ","CABINET   ","SWITCH            ","   ","104945","639436","41","0","1","0","1","0","04/08/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","   HPR-000398-01","PLATE, 8MM X 96"" X 4 ","PLATE     ","LOW SULFUR        ","   ","104945","639436","42","0","1","0","1","0","02/23/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08320-01","WINDLASS/CAPSTAN, AN ","ANCHOR    ","WINDLASS          ","   ","104915","652271","73","3148","1","0","1","3148","10/06/2015","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08196-01","BEARING ASSY, WATER  ","ASSEMBLY  ","BEARING           ","   ","104945","652332","40","0","15","0","15","0","09/19/2015","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08196-02","BEARING ASSY, IMPELL ","ASSEMBLY  ","BEARING           ","   ","104945","652332","41","0","2","0","2","0","09/19/2015","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000791-01","BEARING ASSY, GEAR C ","ASSEMBLY  ","BEARING           ","   ","104945","652332","43","0.01","1","0","1","0.01","11/09/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000909-01","BEARING ASSY, GEAR C ","ASSEMBLY  ","BEARING           ","   ","104945","652332","44","0","25","0","25","0","11/13/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08025-01","GEAR UNIT BUSL 261 P ","UNIT      ","GEAR              ","   ","104945","652334","147","0","1","0","1","0","08/24/2015","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-08535-01","COMPENSTION OIL DRAI ","DRAIN     ","OIL               ","   ","104945","652334","148","0","2","0","2","0","11/06/2015","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09949-01","COMPENSTION OIL DRAI ","DRAIN     ","OIL               ","   ","104945","652334","150","0","2","0","2","0","08/11/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000290-01","GEAR UNIT BUSL 261 S ","UNIT      ","GEAR              ","   ","104945","652334","151","0","1","0","1","0","09/21/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000437-01","GEAR UNIT BUSL 261 P ","UNIT      ","GEAR              ","   ","104945","652334","152","0","1","0","1","0","10/01/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000437-02","GEAR UNIT BUSL 261 P ","UNIT      ","GEAR              ","   ","104945","652334","153","0","1","0","1","0","10/01/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000445-01","GEAR UNIT ASL 2-160  ","UNIT      ","GEAR              ","   ","104945","652334","154","0","1","0","1","0","10/01/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000445-02","GEAR UNIT ASL 2-160  ","UNIT      ","GEAR              ","   ","104945","652334","155","0","1","0","1","0","10/02/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000447-01","GEAR UNIT ASL 2-160  ","UNIT      ","GEAR              ","   ","104945","652334","156","0","1","0","1","0","10/02/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000217-01","THRUST BEARING       ","BEARING   ","THRUST            ","   ","104945","652339","117","0","2","0","2","0","08/09/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001339-01","DIAL THERMOMETER     ","THERMOMETE","DIAL              ","   ","104945","652339","118","0","2","0","2","0","02/02/2017","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09955-02","ENGINE, MAIN PROPULS ","ENGINE    ","PROPULSION        ","   ","104945","652343","110","0","1","0","1","0","08/12/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000931-04","ADAPTER, THREAD M18- ","ADAPTER   ","THREAD            ","   ","104945","652343","115","0","8","0","8","0","11/30/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000947-01","HOSE ASSY, AIR, 5/8"" ","ASSEMBLY  ","HOSE              ","   ","104945","652343","116","0","4","0","4","0","11/30/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001062-01","ADAPTOR, P/N PA12652 ","ADAPTER   ","                  ","   ","104945","652343","121","0","4","0","4","0","12/10/2016","8","         ","            ","","","","","","","","","","","",""
