"SWBS","Item#","Desc.","UOM","Qty","Unit Cost","Ext. Cost",""
"613","613-01-00071","QUICK-RELEASE PIN, RING GRIP, ","EA ","1","$24.82","$24.82",""
"613","613-01-00072","LANYARD, NYLON COATED TYPE 304","EA ","1","$2.64","$2.64",""
"613","613-01-00074","SHEET, ALUM, .190 X 4' X 8'   ","EA ","0.07","$207.90","$14.55",""
"613","613-01-00076","WING NUT, 3/8-UNC, CRES 316, M","EA ","4","$0.75","$3.00",""
"613","613-01-00077","THIMBLE, SYNTHETIC ROPE, 1/2"" ","EA ","20","$0.50","$10.00",""
"613","613-01-00078","THIMBLE, SYNTHETIC ROPE, 3/8"" ","EA ","10","$0.50","$5.00",""
"622","622-01-00001","CHANGES PER J-14 CHANGES      ","LO ","-1","$3,150.00","$-3,150.00",""
"622","622-01-CH001","J15/J16 PCW CHANGES           ","EA ","1","$6,267.00","$6,267.00",""
"622","622-01-CH002","PCW CHANGES 178 & 282","EA ","1","$1,942.00","$1,942.00",""
"622","622-02-00003","PIPE, 2"" DIA, SCH 40, ALUM    ","LF ","15","$2.47","$37.05",""
"622","622-02-00005","PLATE, 1/4"" THK, 48"" X 96"", ST","EA ","0.25","$107.82","$26.96",""
"622","622-02-00006","PLATE, 1/8"" THK, 48"" X 96"", ST","EA ","0.45","$54.40","$24.48",""
"622","622-02-00008","PLATE, .25(1/4"")THK,ALUM      ","EA ","0.44","$374.40","$164.74",""
"622","622-02-00012","ANGLE, 3"" X 3"" X 3/16"", 20'-0""","EA ","1.31","$35.93","$47.07",""
"622","622-02-00013","FLAT BAR, 3"" W X 1/4"" THK, 10'","EA ","1.53","$16.58","$25.37",""
"622","622-02-00020","ANGLE, 3"" X 2"" X 3/16"" THK, 25","EA ","29.29","$89.12","$2,610.32",""
"622","622-02-00024","ANGLE, 2"" X 2"" X 3/16"" THK, 25","EA ","5.04","$74.50","$375.48",""
"622","622-02-0004A","BI-METALLIC PAD, F/N 4A,      ","EA ","15","$34.66","$519.90",""
"622","622-02-0004B","BI-METALLIC PAD, F/N 4A,      ","EA ","190","$7.50","$1,425.00",""
"622","622-91-00007","ROUND BAR, CRES 316 SSTL      ","EA ","8","$121.92","$975.37",""
"622","622-91-00010","PIN, TOGGLE, CRES 316 SSTL    ","EA ","2","$33.00","$66.00",""
"622","622-91-00011","WIRE ROPE, CRES 316 SSTL, 7X7 ","LF ","6","$0.60","$3.58",""
"622","622-91-00012","OVAL SLEEVE, CRES SSTL        ","EA ","40","$0.88","$35.02",""
"622","622-91-00013","CHAIN, CRES 316, SSTL, 9/32""  ","LF ","40","$11.50","$460.00",""
"622","622-91-00014","CONNECTING LINK, CRES 316 SSTL","EA ","14","$15.00","$210.00",""
"622","622-91-00015","SHACKLE, CRES 316 SSTL, 1/4""D ","EA ","11","$17.30","$190.34",""
"622","622-91-00016","SNAP HOOK, CRES 316 SSTL,9/16""","EA ","3","$59.71","$179.13",""
"622","622-91-00017","FLAT BAR, 2"" W X 1/4"" THK     ","EA ","3","$86.00","$258.00",""
"622","622-91-00043","ROUND BAR, 3/8"" DIA, 12 FT    ","EA ","2","$370.80","$741.60",""
"622","622-92-00001","PLATE, FLOOR, STN STL 316     ","EA ","8","$923.71","$7,389.68",""
"622","622-92-00002","ANGLE, 4"" X 3"" X 1/4""         ","LF ","180","$123.48","$22,226.40",""
"622","622-92-00003","ANGLE, 2-1/2"" X 2-1/2"" X 3/16""","LF ","100","$43.60","$4,360.00",""
"622","622-92-00004","ANGLE, 3"" X 3"" X 1/4""         ","LF ","200","$4.00","$800.00",""
"622","622-92-00006","FLAT BAR, 2-1/2"" X 1/4"" THK   ","LF ","100","$32.28","$3,228.00",""
"622","622-92-00012","SCREW, PANHEAD, 5/16-18 X 3/4""","EA ","300","$1.23","$367.71",""
"622","622-92-00013","ANTI-SIEZE COMPOUND, DOW CORNI","EA ","1","$58.26","$58.26",""
"622","622-92-00031","SCREW, PANHEAD, 5/16-18 X 3/4""","EA ","500","$1.23","$612.85",""
"622","622-93-00001","PLATE, FLOOR, STN STL 316     ","EA ","25","$923.71","$23,092.75",""
"622","622-93-00002","ANGLE, 4""X3""X1/4""THK          ","LF ","220","$94.36","$20,759.20",""
"622","622-93-00003","ANGLE, 2-1/2""X2-1/2""X3/16""THK ","LF ","400","$43.60","$17,440.00",""
"622","622-93-00004","ANGLE, 2""X2""X1/4""THK          ","LF ","350","$2.53","$885.50",""
"622","622-93-00005","ANGLE, 3""X3""X1/4""THK          ","LF ","60","$69.60","$4,176.00",""
"622","622-93-00007","BAR, FLAT, 2-1/2"" X 1/4"" THK  ","LF ","260","$32.28","$8,392.80",""
"622","622-93-00011","ANTI-SIEZE COMPOUND, DOW      ","EA ","1","$37.42","$37.42",""
"622","622-93-00012","PIPE,STL,1"",GALV,SCH 40       ","LF ","960","$3.28","$3,148.80",""
"622","622-93-00013","PIPE,STL,1-1/4"",GALV,SCH 40   ","LF ","20","$7.31","$146.26",""
"622","622-93-00018","TOGGLE PIN, 1/4""DIA X 1-3/4""  ","EA ","244","$29.00","$7,076.00",""
"622","622-93-00019","WIRE ROPE, 1/16"" DIA, CRES    ","LF ","154","$0.52","$79.31",""
"622","622-93-00020","SLEEVE, OVAL, 1/16"" DIA       ","EA ","400","$0.76","$304.88",""
"622","622-93-00025","FITTING, 25 DEG ELBOW, 25MM   ","EA ","41","$10.10","$414.10",""
"622","622-93-00026","FITTING, THREE SOCKET TEE,    ","EA ","76","$13.50","$1,026.00",""
"622","622-93-00027","FITTING, TWO SOCKET CROSS,    ","EA ","46","$13.50","$621.00",""
"622","622-93-00028","CHAIN, WELDED, 9/32"" X 87"" LG ","LF ","29","$12.52","$363.08",""
"622","622-93-00029","LINK, 1/4"", STD CONNECTING    ","EA ","14","$14.58","$204.12",""
"622","622-93-00030","ANCHOR SHACKLE, 1/4"" DIA      ","EA ","46","$7.79","$358.34",""
"622","622-93-00031","SNAP HOOK, CRES 316 S.S., SNAP","EA ","1","$62.61","$62.61",""
"622","622-93-00032","FITTING, SIDE OUTLET ELBOW,   ","EA ","19","$9.55","$181.45",""
"622","622-93-00033","FITTING, 90 DEG SIDE OUTLET   ","EA ","38","$10.70","$406.60",""
"622","622-93-00037","PIN, TOGGLE, CRES 316 S.S.,   ","EA ","2","$31.50","$63.00",""
"622","622-93-00038","WIRE ROPE, CRES 316 S.S., 7X7 ","FT ","2","$7.28","$14.56",""
"622","622-93-00039","OVAL SLEEVE, CRES S.S., FOR   ","EA ","4","$8.05","$32.20",""
"622","622-93-00043","BAR, FLAT, MED CARBON STEEL, A","EA ","1","$22.00","$22.00",""
"622","622-93-0020T","BENCH HAND TOOL               ","EA ","1","$150.00","$150.00",""
"622","622-94-00001","PLATE, FLOOR, STN STL 316     ","EA ","21","$923.71","$19,397.91",""
"622","622-94-00002","ANGLE, EQUAL LEGS, STEEL, ASTM","LF ","900","$1.38","$1,242.00",""
"622","622-94-00003","FLATBAR, 2"" X 3/16"" STN STL   ","LF ","300","$47.73","$14,319.00",""
"622","622-94-00007","SCREW, PANHEAD, 5/16-18 X 3/4""","EA ","750","$0.73","$548.48",""
"622","622-94-00008","ANTI-SIEZE COMPOUND, DOW      ","EA ","1","$37.42","$37.42",""
"622","622-94-00009","PIPE,STL,1"",GALV,SCH 40       ","LF ","430","$3.28","$1,410.40",""
"622","622-94-00010","PIPE,STL,1-1/4"",GALV,SCH 40   ","LF ","50","$3.13","$156.50",""
"622","622-94-00014","BAR, ROUND, 3/8"" x 20'L, ST   ","EA ","15","$19.00","$285.00",""
"622","622-94-00015","HOOK, SNAP, SWIVEL, 3/8"" DIA O","EA ","210","$1.19","$249.90",""
"622","622-94-00016","CHAIN COIL, STRAIGHT LINK, 5/0","LF ","520","$1.93","$1,001.57",""
"622","622-94-00017","LINK, OPEN END, 1/4"" DIA, ZINC","EA ","205","$0.54","$109.80",""
"622","622-94-00018","FITTING, 90 DEG.ELBOW, 25MM   ","EA ","30","$11.11","$333.30",""
"622","622-94-00019","FITTING, SINGLE SOCKET TEE,   ","EA ","60","$13.81","$828.60",""
"622","622-94-00021","FITTING, SIDE OUTLET ELB, 25MM","EA ","5","$13.50","$67.50",""
"622","622-94-00022","FITTING, 90 DEG.SIDE OUTLET   ","EA ","5","$10.20","$51.00",""
"622","622-94-00025","FLATBAR, 4 X 3/16, A-36       ","LF ","120","$1.40","$168.00",""
"622","622-94-00034","STL SHAPES,ANGLE,3/16X3X2""X20'","EA ","10","$28.37","$283.66",""
"622","622-94-00035","BAR, FLAT, 3""W x 3/16""L, LOW  ","EA ","1","$20.39","$20.39",""
"622","622-94-0014M","BAR, ROUND, 3/8"" , ST         ","LF ","110","$0.50","$55.00",""
"622","622-94-0034A","ANGLE, L 4 X 3 X 1/4 X 20' LG ","EA ","6","$51.04","$306.24",""
"622","622-95-00001","PLATE, FLOOR, STN STL 316     ","EA ","20","$1,081.85","$21,637.00",""
"622","622-95-00002","ANGLE, EQUAL LEGS, STEEL, ASTM","LF ","980","$1.02","$999.60",""
"622","622-95-00003","FLAT BAR, 2"" X 3/16"", STN STL ","LF ","220","$41.19","$9,061.80",""
"622","622-95-00007","SCREW, PANHEAD, 5/16-18 X 3/4""","EA ","700","$0.18","$122.57",""
"622","622-95-00009","SADDLE CLIP FOR 1-3/16"" SPACED","EA ","30","$0.61","$18.23",""
"622","622-95-00015","HOOK, SNAP, SWIVEL, 3/8"" DIA O","EA ","10","$1.61","$16.07",""
"622","622-95-00016","CHAIN COIL, STRAIGHT LINK, 5/0","LF ","100","$0.70","$70.04",""
"622","622-95-00017","LINK, OPEN END, 1/4"" DIA      ","EA ","10","$0.54","$5.36",""
"622","622-95-00018","GRATING, RY-WELD, 19-W-4,     ","EA ","2","$1,192.81","$2,385.62",""
"622","622-96-00002","GRATING, EXPANDED METAL,      ","EA ","1","$599.00","$599.00",""
"622","622-96-00003","GRATING, RY-WELD, 19-W-4,     ","EA ","1","$900.00","$900.00",""
"622","622-96-00004","PLATE, 1/4"", 4' X 8', 316     ","EA ","2","$873.50","$1,747.00",""
"622","622-96-00005","COMPRESSION SLEEVE, OVAL,     ","EA ","105","$1.52","$159.60",""
"622","622-96-00009","WIRE ROPE, 1/8"", 316 STAINLESS","LF ","60","$1.28","$76.80",""
"622","622-96-00011","PIN, TOGGLE, CRES 316 SS, 1/2""","EA ","37","$30.00","$1,110.00",""
"622","622-96-00012","ROPE, JACKETED ARAMID, 1/2""DIA","LF ","250","$2.91","$727.50",""
"622","622-96-00013","PIPE,STL,1"",GALV,SCH 40       ","LF ","126","$3.28","$413.28",""
"622","622-96-00014","PIPE,STL,1-1/4"",GALV,SCH 40   ","LF ","21","$3.13","$65.73",""
"622","622-96-00018","CHAIN, MACHINE, STRAIGHT, 1/4""","LF ","200","$2.93","$586.00",""
"622","622-96-00019","HAMMER-LOCK CONNECTOR, 1/4""DIA","EA ","5","$5.88","$29.40",""
"622","622-96-00020","FITTING, 90-DEG ELBOW, 25MM   ","EA ","6","$11.11","$66.66",""
"622","622-96-00021","FITTING, TEE, 25MM GALV ST,   ","EA ","12","$13.81","$165.72",""
"622","622-96-00022","FITTING, CROSS, 25MM GALV STL ","EA ","6","$13.81","$82.86",""
"622","622-96-00023","FITTING, 90 DEG ELBOW W/SIDE  ","EA ","4","$14.50","$58.00",""
"622","622-96-00024","FITTING, 9TEE W/SIDE OUTLET,  ","EA ","6","$11.80","$70.80",""
"622","622-96-00025","ANTISEIZE COMPOUND, MIL-PRF-  ","EA ","1","$30.00","$30.00",""
"622","622-96-00033","PIN, TOGGLE, CRES 316, 1/2"" X ","EA ","12","$32.00","$384.00",""
"622","622-96-00034","SCREW PAN HEAD, 5/16""-18UNC 2A","EA ","140","$1.10","$154.00",""
"622","622-96-00037","SADDLE CLIP FOR 1-3/16"" SPACED","EA ","20","$1.00","$20.00",""
"622","622-96-00043","ANGLE, EQUAL LEGS, L2 x 2 x 3/","EA ","14","$9.43","$132.02",""
"622","622-96-00044","PLATE, FLOOR, STN STL 316,    ","EA ","2","$923.72","$1,847.44",""
"622","622-96-00045","BAR, FLAT, 1/4"" THK X 2"" X 20'","EA ","1","$14.62","$14.62",""
"622","622-96-00046","BOLT, STL ZINC PLTD, 3/8-16UNC","EA ","30","$0.05","$1.55",""
"622","622-96-00047","NUT, SELF LOCKING WITH NYLON I","EA ","30","$0.02","$0.62",""
"622","622-96-00048","WASHER, FLAT, STEEL ZINC PLATE","EA ","64","$0.01","$0.66",""
"622","622-96-00049","PLATE, 3/16""X4'X8', STL A36   ","EA ","1","$75.99","$75.99",""
"622","622-96-00050","BOLT, STL ZINC PLTD, 3/8-16UNC","EA ","3","$0.08","$0.25",""
"622","622-96-00051","BAR, FLAT, 1/4"" X 3 "" X 20'LNG","EA ","1","$28.37","$28.37",""
"622","622-96-0005A","COMPRESSION SLEEVE, TOOL, FOR ","EA ","1","$187.93","$187.93",""
"622","622-96-S0013","STANCHION SUB, CRES 316, BUILD","EA ","6","$281.19","$1,687.14",""
"622","622-96-S0014","STANCHION SUB, CRES 316, BUILD","EA ","3","$364.62","$1,093.86",""
"622","622-96-S0015","STANCHION SUB, CRES 316, BUILD","EA ","3","$364.62","$1,093.86",""
"622","622-96-S0016","STANCHION BASE, CRES 316,     ","EA ","35","$21.69","$759.21",""
"622","622-97-00007","ROUND BAR, CRES 316 S.S.      ","EA ","4","$34.20","$136.78",""
"622","622-97-00013","PIN, TOGGLE, CRES 316 S.S.,   ","EA ","16","$29.00","$464.00",""
"622","622-97-00014","PIN, TOGGLE, CRES 316 S.S.,   ","EA ","45","$17.80","$800.93",""
"622","622-97-00015","WIRE ROPE, CRES 316 S.S., 7X7 ","FT ","200","$0.44","$88.58",""
"622","622-97-00016","OVAL SLEEVE, CRES S.S., FOR   ","EA ","160","$0.48","$77.46",""
"622","622-97-00017","CHAIN, CRES 316 S.S., TRADE   ","LF ","150","$8.36","$1,254.00",""
"622","622-97-00018","CONNECTING LINK, CRES 316 S.S.","EA ","64","$16.00","$1,024.00",""
"622","622-97-00019","SHACKLE, CRES 316 S.S., 1/4""  ","EA ","60","$2.20","$132.00",""
"622","622-97-00020","SNAP HOOK, CRES 316 S.S., SNAP","EA ","25","$10.75","$268.83",""
"622","622-97-00023","PLATE, ALUMINUM 5083-H116,    ","EA ","1","$2,822.00","$2,822.00",""
"622","622-97-00024","TURNBUCKLE, CLOSED END WITH   ","EA ","15","$139.49","$2,092.35",""
"622","622-97-00025","CLEVIS FITTING WITH SISTER    ","EA ","15","$82.25","$1,233.75",""
"622","622-97-00026","ROPE, JACKETED KEVLAR, 1/2""   ","LF ","100","$2.88","$288.40",""
"622","622-97-00027","PLATE, ALUMINUM 5083-H116,    ","EA ","1","$1,000.00","$1,000.00",""
"622","622-97-00028","ELBOW, 25MM, ALUMINUM/MAGNES  ","EA ","7","$12.00","$84.00",""
"622","622-97-00029","TEE, 25MM, ALUMINUM/MAGNESIUM ","EA ","18","$15.88","$285.89",""
"622","622-97-00030","CROSS FITTING, 25MM, ALUM     ","EA ","14","$18.00","$252.00",""
"622","622-97-00031","OUTSIDE CORNER FITTING, 25MM  ","EA ","5","$26.97","$134.83",""
"622","622-97-00032","PIPE, ALUMINUM 5086-H32,      ","LF ","160","$6.00","$960.78",""
"622","622-97-00033","PLATE, ALUMINUM 5454-H32,     ","EA ","1","$1,000.00","$1,000.00",""
"622","622-97-00034","GRATING, FIBERGLASS REINFORCED","EA ","30","$238.71","$7,161.30",""
"622","622-97-00035","GRATING, RETAINER CLIP,       ","EA ","75","$5.00","$375.00",""
"622","622-97-00038","ANGLE, ALUMINUM 5086-H111     ","EA ","20","$43.44","$868.70",""
"622","622-97-00040","TEE, ALUM 5086, 1""X2""X3/16""   ","EA ","5","$84.68","$423.38",""
"622","622-97-00043","ROUND BAR, AL, 5086-H111, 3/8""","EA ","5","$28.00","$140.00",""
"622","622-97-00047","GRATING, 1"" X 1/8"" BAR        ","EA ","5","$360.00","$1,800.00",""
"622","622-97-00054","PIANO HINGE, 0.12"" THK BLADE  ","EA ","4","$45.00","$180.00",""
"622","622-97-00056","ROUND MECHANICAL TUBE, 3/4""OD ","LF ","4","$30.90","$123.60",""
"622","622-97-00061","ROUND MECHANICAL TUBE,1-1/2""OD","LF ","6","$23.48","$140.90",""
"622","622-97-00062","ROUND BAR, 1"" DIA X 6' LG     ","EA ","1","$118.04","$118.04",""
"622","622-97-S0001","STANCHION, END, CRES 316 S.S. ","EA ","7","$163.15","$1,142.06",""
"622","622-97-S0002","STANCHION, CORNER, CRES 316 S.","EA ","9","$257.50","$2,317.50",""
"622","622-97-S0003","STANCHION, MIDDLE, CRES 316 S.","EA ","5","$168.10","$840.48",""
"622","622-97-S0004","STANCHION, INTERMEDIATE, CRES ","EA ","2","$163.15","$326.30",""
"622","622-97-S0005","STANCHION, END, CRES 316 S.S. ","EA ","15","$180.25","$2,703.75",""
"622","622-97-S0006","STANCHION, CORNER, CRES 316 S.","EA ","15","$193.64","$2,904.60",""
"622","622-97-S0007","STANCHION, BRACE, CRES 316 S.S","EA ","10","$187.46","$1,874.60",""
"622","622-97-S0008","STANCHION, BASE, CRES 316 S.S.","EA ","20","$92.70","$1,854.00",""
"622","622-97-S0009","STANCHION PIN JOINT, CRES 316 ","EA ","15","$80.34","$1,205.10",""
"622","622-97-S0010","DECK SOCKET WITH PLUG, FLUSH, ","EA ","55","$220.01","$12,100.44",""
"623","623-01-0022A","SERVICES TO FORM LADDER RUNG 2","EA ","125","$5.38","$672.50",""
"623","623-01-0022B","SERVICE TO FORM LADDER RUNG 22","EA ","0","$0.01","$0.00",""
"623","623-01-0022C","SERVICE TO FORM LADDER RUNG 22","EA ","4","$182.00","$728.00",""
"623","623-01-0022D","SERVICE TO FORM LADDER RUNG 22","EA ","30","$0.01","$0.30",""
"623","623-01-0022E","SERVICE FVMT TO FORM LADDER   ","EA ","40","$0.01","$0.40",""
