"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"469","1","            ","            ","4CL","          ","830","8","13","523","523","900","900","0","943268","    L5230-000405","10","Q-FINAL PURCHASING SUPPORT    ","1510","99.8","0.00","104.00","0.00","103.79","255.03","1.00","0.00","0.00","0.00","256.03","0.000 ","0.407 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000405-10","255.03","0","1","256.03","0.00 "
"469","1","            ","            ","4CL","          ","830","8","13","523","523","900","900","0","943269","    L5230-000406","10","Q-FINAL FCN REVIEW/INCORP LCS ","1501","99.8","0.00","1040.00","0.00","1037.92","2407.39","1.00","0.00","0.00","0.00","2408.39","0.000 ","0.431 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000406-10","2407.39","0","1","2408.39","0.00 "
"469","1","            ","            ","4CL","          ","830","8","13","523","523","900","900","0","943270","    L5230-000407","10","Q-FINAL PLANNING SUPPORT      ","1534","99.8","0.00","104.00","0.00","103.79","57.84","1.00","0.00","0.00","0.00","58.84","0.000 ","1.794 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000407-10","57.84","0","1","58.84","0.00 "
"469","1","            ","            ","4CL","          ","830","8","13","523","523","900","900","0","943271","    L5230-000408","10","Q-FINAL CM SUPPORT LCS 9/11   ","1531","99.8","0.00","104.00","0.00","103.79","305.15","1.00","0.00","0.00","0.00","306.15","0.000 ","0.340 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000408-10","303.34","0","1","304.34","1.81 "
"469","1","            ","            ","4CL","          ","830","8","13","523","523","900","900","0","943272","    L5230-000409","10","Q-FINAL INCORP ECNS/DWG REVS  ","1525","99.8","0.00","520.00","0.00","518.96","395.29","1.00","0.00","0.00","0.00","396.29","0.000 ","1.313 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000409-10","395.29","0","1","396.29","0.00 "
"469","1","            ","            ","4CL","CF 2135   ","830","8","13","523","523","900","CF2135","0","943274","    L5230-000411","10","Q-FINAL CF-2135 DETAIL        ","1521","100","0.00","28.00","0.00","28.00","77.90","0.00","0.00","0.00","0.00","77.90","0.000 ","0.359 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000411-10","77.9","0","0","77.9","0.00 "
"469","1","            ","            ","4CL","CF 2136   ","830","8","13","523","523","900","CF2136","0","943276","    L5230-000413","10","Q-FINAL CF-2136 DETAIL        ","1521","100","0.00","28.00","0.00","28.00","45.12","0.00","0.00","0.00","0.00","45.12","0.000 ","0.621 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000413-10","45.12","0","0","45.12","0.00 "
"469","1","            ","            ","4CL","CF 2137   ","830","8","13","523","523","900","CF2137","0","943278","    L5230-000415","10","Q-FINAL CF-2137 DETAIL        ","1521","100","0.00","28.00","0.00","28.00","40.55","0.00","0.00","0.00","0.00","40.55","0.000 ","0.691 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000415-10","40.55","0","0","40.55","0.00 "
"469","1","            ","            ","4CL","CF 2138   ","830","8","13","523","523","900","CF2138","0","943280","    L5230-000417","10","Q-FINAL CF-2138 DETAIL        ","1521","100","0.00","28.00","0.00","28.00","37.00","0.00","0.00","0.00","0.00","37.00","0.000 ","0.757 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000417-10","37","0","0","37","0.00 "
"469","1","            ","            ","4CL","CF 2210   ","830","8","13","523","523","S2L  ","CF2210","0","943387","    L5230-000418","10","Q-FINAL CF-2210 MODELING      ","1566","100","0.00","48.00","0.00","48.00","56.14","0.00","0.00","0.00","0.00","56.14","0.000 ","0.855 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000418-10","56.14","0","0","56.14","0.00 "
"469","1","            ","            ","4CL","CF 2210   ","830","8","13","523","523","S2L  ","CF2210","0","943388","    L5230-000419","10","Q-FINAL CF-2210 ECN & A/DS    ","1566","100","0.00","272.00","0.00","272.00","45.23","0.00","0.00","0.00","0.00","45.23","0.000 ","6.014 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000419-10","45.23","0","0","45.23","0.00 "
