"Parent - Operation","Lock Date","Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"    L6000-000958-999","2/18/2017","479","1","          ","            ","958","          ","0","5","TST","600","A2   ","A2    ","0","","    L6000-000958","999","BUDGET FOR MFG                ","83","0","194","0","0","0","0","0","0","0","0","0","","","8/25/2017","10/9/2017","8/30/2017","10/20/2017"
"    L6000-000H81-999","2/18/2017","479","1","          ","            ","888","          ","0","5","TST","600","A2   ","A2    ","0","","    L6000-000H81","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000H39-999","2/18/2017","479","1","          ","            ","888","          ","0","2","TST","600","A2   ","A2    ","0","","    L6000-000H39","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000869-999","2/18/2017","479","1","          ","            ","869","          ","0","2","TST","600","A2   ","A2    ","0","","    L6000-000869","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","11/30/2017","1/8/2018","3/7/2018","4/26/2018"
"    L6000-000868-999","2/18/2017","479","1","          ","            ","868","          ","0","5","TST","600","A2   ","A2    ","0","","    L6000-000868","999","BUDGET FOR MFG                ","83","0","56","0","0","0","0","0","0","0","0","0","","","9/28/2017","11/9/2017","10/10/2017","12/1/2017"
"    L6000-000850-999","2/18/2017","479","1","          ","            ","850","          ","0","5","TST","600","A2   ","A2    ","0","","    L6000-000850","999","BUDGET FOR MFG                ","83","0","163","0","0","0","0","0","0","0","0","0","","","11/3/2017","12/19/2017","11/8/2017","1/9/2018"
"    L6000-000142-999","2/18/2017","479","1","          ","            ","142","          ","0","1","TST","600","A2   ","A2    ","0","","    L6000-000142","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/10/2017","12/15/2017","11/22/2017","3/21/2018"
"    L6000-000862-999","2/18/2017","479","1","          ","            ","862","          ","0","5","TST","600","A2   ","A2    ","0","","    L6000-000862","999","BUDGET FOR MFG                ","83","0","296","0","0","0","0","0","0","0","0","0","","","12/18/2017","2/6/2018","1/4/2018","2/23/2018"
"    L6000-000119-999","2/18/2017","479","1","          ","            ","119","          ","0","1","TST","600","A2   ","A2    ","0","","    L6000-000119","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","8/3/2017","10/9/2017","8/3/2017","11/21/2017"
"    L6000-000769-999","2/18/2017","479","1","          ","            ","769","          ","0","5","TST","600","A2   ","A2    ","0","","    L6000-000769","999","BUDGET FOR MFG                ","83","0","71","0","0","0","0","0","0","0","0","0","","","10/12/2017","11/27/2017","10/25/2017","12/18/2017"
"    L6000-000647-999","2/18/2017","479","1","          ","            ","647","          ","0","5","TST","600","A2   ","A2    ","0","","    L6000-000647","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","12/1/2017","1/22/2018","12/8/2017","2/6/2018"
"    L6000-000735-999","2/18/2017","479","1","          ","            ","735","          ","0","2","TST","600","A2   ","A2    ","0","","    L6000-000735","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","11/30/2017","1/19/2018","3/7/2018","4/26/2018"
