"","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Committed Qty","Commit Amnt","Delv.date","Acct /Proj /Dept","CLIN","Effort","ECP/REA"
"485","110","12-12E0301020","BAR, FLAT, 1"" X 3/16"" X 20', S","BAR       ","FLAT              ","   ","104757","766064","40","17.4","1","0","1","17.4","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1625250520","ANGLE, 2 1/2"" X 2 1/2"" X 5/16""","ANGLE     ","                  ","   ","104757","766064","41","156.4","1","0","1","156.4","07/19/2017","       /    /    ","            ","            ",""
"485","110","12-12E0301520","BAR, FLAT, 3/16"" x 1-1/2"" x 20","BAR       ","FLAT              ","   ","104757","766064","42","27.4","4","0","4","109.6","07/19/2017","       /    /    ","            ","            ",""
"485","110","11-12E040G08","PLATE, 1/4"" X 48"" X 8', STEEL,","PLATE     ","                  ","   ","33670","766069","1","130.65","1","0","1","130.65","08/05/2017","       /    /    ","            ","            ",""
"485","110","12-12E0804020","BAR, FLAT, 4"" X 1/2""X 20', STE","BAR       ","FLAT              ","   ","33670","766069","2","61.2","1","0","1","61.2","08/05/2017","       /    /    ","            ","            ",""
"485","110","17-6202020420","TUBE, SQUARE, 2"" X 2"" X 1/4""  ","TUBE      ","SQUARE            ","   ","33670","766069","3","62.75","1","0","1","62.75","08/05/2017","       /    /    ","            ","            ",""
"485","110","11-12E030G08","PLATE, 3/16"" X 4' X 8', STEEL,","PLATE     ","                  ","   ","33670","766069","4","98.05","2","0","2","196.1","08/05/2017","       /    /    ","            ","            ",""
"485","110","11-22E020K20","PLATE, 11 GAUGE X 60"" X 20', S","PLATE     ","11 GAUGE          ","   ","33670","766069","5","275","8","0","8","2200","08/05/2017","       /    /    ","            ","            ",""
"485","110","11-42E030T10","PLATE, 3/16"" X 96"" X 120"", STA","PLATE     ","                  ","   ","33670","766069","6","1818.75","1","0","1","1818.75","08/05/2017","       /    /    ","            ","            ",""
"485","110","11-42E080G04","PLATE, 1/2"" X 4' X 4', STAINLE","PLATE     ","                  ","   ","33670","766069","7","565","3","0","3","1695","08/05/2017","       /    /    ","            ","            ",""
"485","110","11-42E160G04","PLATE, 1"" X 4'X 4', STAINLESS ","PLATE     ","                  ","   ","33670","766069","8","1331.15","1","0","1","1331.15","08/05/2017","       /    /    ","            ","            ",""
"485","110","11-43E040A01","PLATE, 1/4"" X 1' X 1', STAINLE","PLATE     ","                  ","   ","33670","766069","15","28","3","0","3","84","08/05/2017","       /    /    ","            ","            ",""
"485","110","12-12E0302020","BAR, FLAT, 3/16"" X 2"" X 20', S","BAR       ","FLAT              ","   ","33670","766069","19","12.75","9","0","9","114.75","08/05/2017","       /    /    ","            ","            ",""
"485","110","13-4230300420","ANGLE, 3"" X 3"" X 1/4"" X 20', S","ANGLE     ","                  ","   ","33670","766069","20","159.75","2","0","2","319.5","08/05/2017","       /    /    ","            ","            ",""
"485","110","18-420010CR12","BAR, ROUND, 0.625"" DIA X 12', ","BAR       ","ROUND             ","   ","33670","766069","21","26.3","6","0","6","157.8","08/05/2017","       /    /    ","            ","            ",""
"485","110","18-441000CR12","BAR, ROUND, 0.625"" DIA X 12', ","BAR       ","ROUND             ","   ","33670","766069","22","26.3","4","0","4","105.2","08/05/2017","       /    /    ","            ","            ",""
"485","110","12-12E0201520","BAR, FLAT, 1/8"" x 1-1/2"" x 20'","BAR       ","FLAT              ","   ","33670","766074","1","6.5","15","15","15","97.5","07/21/2017","       /    /    ","            ","            ",""
"485","110","12-12E0303020","BAR, FLAT, 3/16"" X 3"" X 20', S","BAR       ","FLAT              ","   ","33670","766074","2","19.15","1","1","1","19.15","07/21/2017","       /    /    ","            ","            ",""
"485","110","13-1210100320","ANGLE, 1"" X 1"" X 3/16"" X 20', ","ANGLE     ","                  ","   ","33670","766074","3","11.15","3","0","3","33.45","07/21/2017","       /    /    ","            ","            ",""
"485","110","13-1215150320","ANGLE, 1-1/2"" X 1-1/2"" X 3/16""","ANGLE     ","                  ","   ","33670","766074","4","17.3","18","18","18","311.4","07/21/2017","       /    /    ","            ","            ",""
"485","110","13-1230200420","ANGLE, 3"" X 2"" X 1/4"" X 20', S","ANGLE     ","HOT ROLLED        ","   ","33670","766074","5","39.4","2","2","2","78.8","07/21/2017","       /    /    ","            ","            ",""
"485","110","13-4210100220","ANGLE, 1"" X 1"" X 1/8"" X 20', S","ANGLE     ","                  ","   ","33670","766074","6","42.1","25","25","25","1052.5","07/21/2017","       /    /    ","            ","            ",""
"485","110","13-4220200420","ANGLE, 2"" X 2"" X 1/4"" X 20'   ","ANGLE     ","                  ","   ","33670","766074","7","168","3","3","3","504","07/21/2017","       /    /    ","            ","            ",""
"485","110","17-4225250320","TUBE, SQUARE, 2-1/2"" X 2-1/2"" ","TUBE      ","SQUARE            ","   ","33670","766074","8","473.6","2","2","2","947.2","07/21/2017","       /    /    ","            ","            ",""
"485","110","18-120005HR20","ROUND BAR, 5/16"" DIA, STEEL,  ","BAR       ","ROUND             ","   ","33670","766074","9","2.9","6","5","6","17.4","07/21/2017","       /    /    ","            ","            ",""
"485","110","18-120006HR20","BAR, 3/8"" DIA X 20'-0"", HOT RO","BAR       ","HOT ROLLED        ","   ","33670","766074","10","3.8","3","3","3","11.4","07/21/2017","       /    /    ","            ","            ",""
"485","110","18-420600CR12","BAR, ROUND, 0.375"" DIA X 12', ","BAR       ","ROUND             ","   ","33670","766074","11","7.66","5","5","5","38.3","07/21/2017","       /    /    ","            ","            ",""
"485","110","12-33E0404020","FLAT BAR, 4"" WIDE, 1/4"" THK   ","BAR       ","FLAT              ","   ","58214","766076","6","3.78","25","0","25","94.5","08/26/2017","       /    /    ","            ","            ",""
"485","110","11-32M450F05","PLATE, 1.77(45MM)X 42 X 60, AL","          ","                  ","   ","58214","766076","13","8333","1","0","1","8333","08/26/2017","       /    /    ","            ","            ",""
"485","110","12-33E0402020","FLAT BAR 2"" W, 1/4"" THK, ALUM ","BAR       ","FLAT              ","   ","58214","766077","3","120","4","4","4","480","08/26/2017","       /    /    ","            ","            ",""
"485","110","13-3313130225","ANGLE, 32MM X 32MM X 3.2MM ALU","ANGLE     ","                  ","   ","58214","766077","7","625","2","2","2","1250","08/26/2017","       /    /    ","            ","            ",""
"485","110","13-1630300320","ANGLE, 3"" X 3"" X 3/16"" X 20', ","ANGLE     ","                  ","   ","104757","766081","5","58.68","1","0","1","58.68","07/17/2017","       /    /    ","            ","            ","CF 2406-S3"
"485","110","13-1620200320","ANGLE, 2"" X 2"" X 3/16"" X 20', ","ANGLE     ","                  ","   ","104757","766085","3","38.53","1","0","1","38.53","07/22/2017","       /    /    ","            ","            ","CF 2276-S3"
"485","110","13-1630300320","ANGLE, 3"" X 3"" X 3/16"" X 20', ","ANGLE     ","                  ","   ","104757","766088","3","58.68","1","0","1","58.68","07/22/2017","       /    /    ","            ","            ","CF 2276-S3"
"485","110","11-13M050T40","PLATE, 5MM X 96"" X 40', STEEL,","PLATE     ","                  ","   ","106024","766094","1","1206.5","48","0","48","57912","09/20/2017","       /    /    ","            ","            ",""
"485","110","11-13M055T40","PLATE, 5.5MM X 96"" X 40', STEE","PLATE     ","                  ","   ","106024","766094","2","1327.15","14","0","14","18580.1","09/20/2017","       /    /    ","            ","            ",""
