"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort","ECP/REA"
"4494","INV   26263","13","494-01-00001-8A1","15.0"" MFCR 38999 MATING       ","444439","    ","            ","4"," EA ","0.28","11/11/2016","0.04","            ","            ",""
"4494","INV   26263","13","494-01-00001-883",".5A FUSE, P/N 355 0113        ","444436","    ","            ","20"," EA ","                ","11/11/2016","0.2","            ","            ",""
"4494","INV   26263","13","494-01-00001-880","16A FUSE, P/N 355 0110        ","444433","    ","            ","1"," EA ","                ","11/11/2016","0","            ","            ",""
"4494","INV   26263","13","494-01-00001-881","10A FUSE, P/N 355 0076        ","444434","    ","            ","1"," EA ","                ","11/11/2016","0","            ","            ",""
"4494","INV   26263","13","494-01-00001-882","4A FUSE, P/N 355 0112         ","444435","    ","            ","2"," EA ","                ","11/11/2016","0.02","            ","            ",""
"4494","INV   26263","13","494-01-00001-884","2A FUSE, P/N 355 0039         ","444437","    ","            ","2"," EA ","                ","11/11/2016","0.02","            ","            ",""
"4494","PUR   38286","28","494-01-00001-832","28VDC POWER SUPPLY            ","950545","20","QUALITY PERF","1"," EA ","8,056.41","05/26/2017","8,056.41","            ","            ",""
"4504","INV   26262","15","504-01-L9125","ELBOW, 1/4 O.D. X 1/4 O.D.    ","444378","    ","            ","5"," EA ","96.35","11/11/2016","96.35","            ","            ",""
"4504","INV   26824","7","504-01-L9125","ELBOW, 1/4 O.D. X 1/4 O.D.    ","451168","    ","            ","8"," EA ","154.24","04/02/2017","154.24","            ","            ",""
"4505","INV   26216","17","505-03-03230","HOLDER, TOOL, CLIP, 1""-1-7/8"" ","443812","    ","            ","2"," EA ","1,537.17","11/01/2016","2.71","            ","            ",""
"4505","INV   26216","17","505-01-N0272","BOLT, REG HEX, 5/8""-11UNC X 2-","443811","    ","            ","4"," EA ","                ","11/01/2016","57.6","            ","            ",""
"4505","INV   26216","17","505-03-A9280","ADAPTER, 3/8"" MALE BSPP X #6  ","443818","    ","            ","4"," EA ","                ","11/01/2016","270.84","            ","            ",""
"4505","INV   26216","17","505-03-A9071","HOSE ADAPTER, 1/2"", C X HOSE T","443816","    ","            ","9"," EA ","                ","11/01/2016","40.86","            ","            ",""
"4505","INV   26216","17","505-03-A9067","ADPT,SLDRXFPT,3/4X1/2 NOM CU  ","443815","    ","            ","1"," EA ","                ","11/01/2016","2.57","            ","            ",""
"4505","INV   26216","17","505-03-A0159","ADPT, 2"" NOM CU.SZ. X 2"" MPT, ","443814","    ","            ","3"," EA ","                ","11/01/2016","19.99","            ","            ",""
"4505","INV   26216","17","505-03-A0157","ADPT, 1-1/4""NOM X 1-1/4"" MPT,C","443813","    ","            ","1"," EA ","                ","11/01/2016","6.26","            ","            ",""
"4505","INV   26216","17","505-03-A9330","ADAPTER, 1/2""-20UNF X 1/2""OD  ","443819","    ","            ","2"," EA ","                ","11/01/2016","205.98","            ","            ",""
"4505","INV   26216","17","505-03-A9377","VALVE TAIL PIECE, 1-1/2"" IPS  ","443820","    ","            ","1"," EA ","                ","11/01/2016","169.42","            ","            ",""
"4505","INV   26216","17","505-03-A9532","ADAPTER, 3/4"" SW X SAE MALE 37","443821","    ","            ","3"," EA ","                ","11/01/2016","746.25","            ","            ",""
"4505","INV   26216","17","505-03-A9544","ADAPTER, 1-1/2 MALE NPT X 1-1/","443822","    ","            ","1"," EA ","                ","11/01/2016","10.98","            ","            ",""
"4505","INV   26216","17","505-03-B0093","SOCKOLET, 2.5"" - 2"" IPS RUN X ","443823","    ","            ","1"," EA ","                ","11/01/2016","3.71","            ","            ",""
"4505","INV   26217","4","505-03-U0059","UNION, 1/4"" IPS, 400 PSI WOG, ","443872","    ","            ","2"," EA ","1,590.57","11/01/2016","84.97","            ","            ",""
"4505","INV   26217","4","505-03-R9008","REDUCER, CONCENTRIC, 8"" X 6""  ","443870","    ","            ","2"," EA ","                ","11/01/2016","75.9","            ","            ",""
"4505","INV   26217","4","505-03-R0258","CPLG, SLDR, W/ STOP, 2 X 1-1/4","443869","    ","            ","2"," EA ","                ","11/01/2016","12.37","            ","            ",""
"4505","INV   26217","4","505-03-PL905","CAP, HOSE, 3/4-14 NPSH W/ ROCK","443867","    ","            ","1"," EA ","                ","11/01/2016","19.04","            ","            ",""
"4505","INV   26217","4","505-03-M9014","NIPPLE, 2"", 5086 ALUM, SCH 40,","443864","    ","            ","1"," EA ","                ","11/01/2016","33.33","            ","            ",""
"4505","INV   26217","4","505-03-PL076","CAP, FPT, 1/4 IPS, SST 304L, P","443866","    ","            ","12"," EA ","                ","11/01/2016","14.88","            ","            ",""
"4505","INV   26217","4","505-03-PL914","CAP, 1/2"", 90-10 CU-NI, SW,   ","443868","    ","            ","1"," EA ","                ","11/01/2016","16","            ","            ",""
"4505","INV   26217","4","505-03-R9102","REDUCER, CONCENTRIC, 4"" X 2""  ","443871","    ","            ","1"," EA ","                ","11/01/2016","9.63","            ","            ",""
"4505","INV   26217","4","505-03-M9039","SOCKET, QUICK CONNECT, STRAIGH","443865","    ","            ","2"," EA ","                ","11/01/2016","135.86","            ","            ",""
"4505","INV   26217","4","505-03-L0301","ELL 90,L.R.,8 IPS,CPR NKL,90-1","443863","    ","            ","1"," EA ","                ","11/01/2016","562.33","            ","            ",""
"4505","INV   26217","4","505-03-K0001","GASKET, GARLOCK G-9900, HIGH  ","443862","    ","            ","8"," EA ","                ","11/01/2016","29.33","            ","            ",""
"4505","INV   26217","4","505-03-F9134","FLANGE, 2-1/2"", NAVY, NPS, CL ","443859","    ","            ","1"," EA ","                ","11/01/2016","99.87","            ","            ",""
"4505","INV   26217","4","505-03-F9171","FLANGE, SW, STL, W/MTG KIT, 2""","443860","    ","            ","1"," EA ","                ","11/01/2016","25.11","            ","            ",""
"4505","INV   26217","4","505-03-F0110","FLANGE, SLP ON, 2"" IPS, STL, P","443857","    ","            ","1"," EA ","                ","11/01/2016","6.95","            ","            ",""
"4505","INV   26217","4","505-03-F9091","FLANGE, 1/2"", ANSI B16.5,     ","443858","    ","            ","10"," EA ","                ","11/01/2016","465","            ","            ",""
"4505","INV   26236","1","505-03-B0204","SOCKOLET, 1-1/4"" IPS SW OUTLET","444054","    ","            ","1"," EA ","8,524.78","11/05/2016","76.26","            ","            ",""
"4505","INV   26236","1","505-03-B0163","SOCKOLET, 2"" IPS RUN X 1/2"" IP","444053","    ","            ","1"," EA ","                ","11/05/2016","31.84","            ","            ",""
"4505","INV   26236","1","505-03-A9719","ADPTR, 90 DEG ELB, 1"", SST 316","444052","    ","            ","2"," EA ","                ","11/05/2016","278.81","            ","            ",""
"4505","INV   26236","1","505-03-F0044","FLANGE, 6"" IPS, CLASS 150, FUL","444070","    ","            ","2"," EA ","                ","11/05/2016","451.18","            ","            ",""
"4505","INV   26236","1","505-03-F0121","FLANGE,1-1/4""NOM,150#,SOLD,FLA","444071","    ","            ","1"," EA ","                ","11/05/2016","24.91","            ","            ",""
"4505","INV   26236","1","505-03-F0122","FLANGE,1-1/2""NOM,150#,SOLD,FLA","444072","    ","            ","1"," EA ","                ","11/05/2016","48.44","            ","            ",""
"4505","INV   26236","1","505-03-C0021","COUPLING, 3/8"" IPS, SILB, 400 ","444056","    ","            ","3"," EA ","                ","11/05/2016","36","            ","            ",""
"4505","INV   26236","1","505-03-B9071","SOCKOLET, 3""-5"" X 3/4"", SSTL, ","444055","    ","            ","1"," EA ","                ","11/05/2016","19.74","            ","            ",""
"4505","INV   26236","1","505-03-F0038","FLANGE, 2"" IPS, CLASS 150, FUL","444062","    ","            ","8"," EA ","                ","11/05/2016","424.69","            ","            ",""
"4505","INV   26236","1","505-03-C9190","CPLG, REDC, 3/4"" X 1/2"", BRZ  ","444060","    ","            ","1"," EA ","                ","11/05/2016","4","            ","            ",""
"4505","INV   26236","1","505-03-F0036","FLANGE,1-1/4""IPS,CLASS 150, FU","444061","    ","            ","10"," EA ","                ","11/05/2016","621.67","            ","            ",""
"4505","INV   26236","1","505-03-C9027","SLEEVE, PIPE, 1-1/4"" NOM, ALUM","444058","    ","            ","1"," EA ","                ","11/05/2016","55.96","            ","            ",""
"4505","INV   26236","1","505-03-C9005","COUPLING, HALF, 1"", SW, STL   ","444057","    ","            ","4"," EA ","                ","11/05/2016","6.6","            ","            ",""
"4505","INV   26236","1","505-03-C9159","BLKHD/DECK PENETRATION, 1/4"" I","444059","    ","            ","1"," EA ","                ","11/05/2016","78.22","            ","            ",""
"4505","INV   26236","1","505-03-F9032","FLANGE, 5"", NAVY, SW, 90/10   ","444073","    ","            ","8"," EA ","                ","11/05/2016","2,050.65","            ","            ",""
