"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort","ECP/REA"
"4008","API  360149","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","62.54","01/02/2018","62.54","            ","            ",""
"4008","API  360150","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","852.62","01/02/2018","852.62","            ","            ",""
"4008","API  360170","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","81.95","01/02/2018","81.95","            ","            ",""
"4008","API  360205","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","1,000.51","01/02/2018","1,000.51","            ","            ",""
"4008","API  360225","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","795.93","01/03/2018","795.93","            ","            ",""
"4008","API  360226","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","136.98","01/03/2018","136.98","            ","            ",""
"4008","API  360227","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","747.02","01/03/2018","747.02","            ","            ",""
"4008","API  360228","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","96.64","01/03/2018","96.64","            ","            ",""
"4008","API  360229","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","647.09","01/03/2018","647.09","            ","            ",""
"4008","API  360230","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","150.24","01/03/2018","150.24","            ","            ",""
"4008","API  360231","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","86.68","01/03/2018","86.68","            ","            ",""
"4008","API  360232","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","577.32","01/03/2018","577.32","            ","            ",""
"4008","API  360259","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","909.64","01/03/2018","909.64","            ","            ",""
"4008","API  360260","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","152.2","01/03/2018","152.2","            ","            ",""
"4008","API  360262","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","102.32","01/03/2018","102.32","            ","            ",""
"4008","API  360275","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","568.52","01/03/2018","568.52","            ","            ",""
