"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort"
"4505","PUR   37607","79","    505-01-VF007","VALVE FND, MFG IAW, 3"", STEEL ","940860","7","NORTHERN FAB","4"," EA ","                ","11/30/2016","159.6","            ",""
"4505","PUR   37607","79","    505-01-VF001","VALVE FND, MFG IAW, 2-1/2, STL","940860","1","NORTHERN FAB","8"," EA ","                ","11/30/2016","331.44","            ",""
"4505","PUR   37607","79","    505-01-VF010","VALVE FND, MFG IAW, 5"", STEEL ","940860","10","NORTHERN FAB","10"," EA ","                ","11/30/2016","400.2","            ",""
"4505","PUR   37607","79","    505-01-VF008","VALVE FND, MFG IAW, 4"", STEEL ","940860","8","NORTHERN FAB","7"," EA ","                ","11/30/2016","271.67","            ",""
"4505","PUR   37617","35","    505-01-VF003","VALVE FND, MFG IAW, 3"", ALUM  ","940860","3","NORTHERN FAB","2"," EA ","798.5","11/30/2016","132.6","            ",""
"4505","PUR   37617","35","    505-01-VF006","VALVE FND, MFG IAW, 8"", ALUM  ","940860","6","NORTHERN FAB","2"," EA ","                ","11/30/2016","178.34","            ",""
"4505","PUR   37617","35","    505-01-VF009","VALVE FND, MFG IAW, 4"", ALUM  ","940860","9","NORTHERN FAB","4"," EA ","                ","11/30/2016","258.16","            ",""
"4505","PUR   37617","35","    505-01-VF011","VALVE FND, MFG IAW, 5"", ALUM  ","940860","11","NORTHERN FAB","4"," EA ","                ","11/30/2016","229.4","            ",""
"4505","API  342239","5","                ","                              ","940786","    ","RYERSON     ","            "," EA ","98.32","11/23/2016","98.32","            ",""
"4505","JE2   19027","167","                ","-510028","      ","    ","            ","            "," EA ","129,797.30","12/31/2016","129,797.30","            ",""
"4505","INV   26340","11","551114260101-00H","UNION,SLDRXMPT,3/8 NOM CU     ","446222","    ","            ","3"," EA ","33","12/02/2016","33","            ",""
"4505","INV   26340","13","551114260101-00H","UNION,SLDRXMPT,3/8 NOM CU     ","446233","    ","            ","3"," EA ","-33","12/02/2016","-33","            ",""
"4505","INV   26343","12","    505-03-U0078","UNION,SLDRXMPT,3/8 NOM CU     ","446233","    ","            ","3"," EA ","33","12/02/2016","33","            ",""
"4505","INV   26386","7","    505-03-C0021","COUPLING, 3/8"" IPS, SILB, 400 ","446370","    ","            ","            "," EA ","                ","12/09/2016","0","            ",""
"4505","INV   26386","8","    505-03-C9034","SLEEVE, PIPE, 3/8"" IPS, ALUM  ","446371","    ","            ","1"," EA ","-39","12/09/2016","-39","            ",""
"4505","INV   26388","15","    505-03-M9034","WATER HAMMER ARRESTOR, 3/4"" NP","446425","    ","            ","1"," EA ","-21","12/09/2016","-21","            ",""
"4505","INV   26431","18","    505-03-M9024","AIR GAP, FOR BACKFLOW PREVENT ","447025","    ","            ","2"," EA ","-28.56","12/22/2016","-28.56","            ",""
"4505","INV   26433","15","    505-03-M9033","WATER, HAMMER ARRESTER, 1/2""  ","447251","    ","            ","2"," EA ","-36","12/22/2016","-36","            ",""
"4505","PUR   37660","57","    505-03-F0021","FLANGE,NAVY1-1/4""IPS,CLASS 150","687518","8","IN HOUSE - O","1"," EA ","33.6","12/09/2016","33.6","            ",""
"4505","PUR   37668","31","    505-99-TMMAT","MATERIAL FOR O/S PIPE SPOOLS  ","510028","1","TEAM INDUSTR","31,222.98"," EA ","63,685.57","12/09/2016","31,222.98","            ",""
"4505","PUR   37668","31","    505-99-TMMAT","MATERIAL FOR O/S PIPE SPOOLS  ","510028","1","TEAM INDUSTR","32,462.59"," EA ","                ","12/09/2016","32,462.59","            ",""
"4505","PUR   37669","20","    505-03-T9171","TEE, 3/4 IPS, SW, SSTL 316L   ","687499","9","COLUMBIA PIP","26"," EA ","216.89","12/09/2016","186.07","            ",""
"4505","PUR   37669","20","    505-03-A9329","ADAPTER, 1/4"", TUBE TO FEMALE ","687498","9","COLUMBIA PIP","3"," EA ","                ","12/09/2016","4.53","            ",""
"4505","PUR   37669","20","    505-03-A0169","RED,SLDR,FTGXSLDR,3/4X1/4 NOM ","687498","3","COLUMBIA PIP","7"," EA ","                ","12/09/2016","9.75","            ",""
"4505","PUR   37669","20","    505-03-A0170","RED,SLDR,FTGXSLDR,1X3/4 NOM CU","687498","6","COLUMBIA PIP","11"," EA ","                ","12/09/2016","16.54","            ",""
"4505","PUR   37669","23","    505-99-TMMAT","MATERIAL FOR O/S PIPE SPOOLS  ","510028","1","TEAM INDUSTR","162,462.25"," EA ","916,418.64","12/09/2016","162,462.25","            ",""
"4505","PUR   37669","23","    505-99-TMMAT","MATERIAL FOR O/S PIPE SPOOLS  ","510028","1","TEAM INDUSTR","364,615.17"," EA ","                ","12/09/2016","364,615.17","            ",""
"4505","PUR   37669","23","    505-99-TMMAT","MATERIAL FOR O/S PIPE SPOOLS  ","510028","1","TEAM INDUSTR","232,993.47"," EA ","                ","12/09/2016","232,993.47","            ",""
"4505","PUR   37669","23","    505-99-TMMAT","MATERIAL FOR O/S PIPE SPOOLS  ","510028","1","TEAM INDUSTR","156,347.75"," EA ","                ","12/09/2016","156,347.75","            ",""
"4505","PUR   37693","9","    505-03-M9085","OVERBOARD DISCHARGE CONNECTION","900772","1","APPLIED INDU","8"," EA ","17,277.05","12/22/2016","11,939.76","            ",""
"4505","PUR   37693","9","    505-03-L9329","ELBOW, 90 DEG, 3/8"", SSTL 316L","900843","3","APPLIED INDU","9"," EA ","                ","12/22/2016","400.95","            ",""
"4505","PUR   37693","9","    505-03-A9710","ADAPTER, FEMALE, 3/4"", SS 316L","900843","2","APPLIED INDU","2"," EA ","                ","12/22/2016","186.12","            ",""
"4505","PUR   37693","9","    505-03-A9563","ADAPTER, 3/4"" IPS, SW X SAE MA","900843","1","APPLIED INDU","44"," EA ","                ","12/22/2016","870.32","            ",""
"4505","PUR   37693","9","    505-03-A9500","ADAPTER, 1/2"" IPS, 37 DEG MALE","900905","1","APPLIED INDU","17"," EA ","                ","12/22/2016","3,054.73","            ",""
"4505","PUR   37693","9","    505-03-M9113","FITTING, ADAPTER, 2-1/2"", BAYO","900947","1","APPLIED INDU","1"," EA ","                ","12/22/2016","825.17","            ",""
"4505","PUR   37694","25","    505-03-M9112","FITTING, CAMLOCK, 1"", FEMALE  ","687499","3","COLUMBIA PIP","1"," EA ","56.46","12/22/2016","13.1","            ",""
"4505","PUR   37694","25","    505-03-M9150","ADAPTER, 1-1/4"", CAMLOCK      ","687499","6","COLUMBIA PIP","1"," EA ","                ","12/22/2016","7.66","            ",""
"4505","PUR   37694","25","    505-03-M0906","NIPPLE, FAUCET SUPPLY         ","687498","12","COLUMBIA PIP","3"," EA ","                ","12/22/2016","35.7","            ",""
"4505","PUR   37697","12","    505-03-M9164","NIPPLE, PIPE, RED BRASS, 1-1/4","687498","15","COLUMBIA PIP","8"," EA ","92.24","12/22/2016","92.24","            ",""
"4505","PUR   37697","17","    505-99-TMMAT","MATERIAL FOR O/S PIPE SPOOLS  ","510028","1","TEAM INDUSTR","99,811.69"," EA ","99,811.69","12/22/2016","99,811.69","            ",""
